维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=4,4,合面积,13,0.7134,-0.2482,-0.1737,0.1,13星_Ridge_CV-R2_0.7134_OOT-SMOOTH-R2_-0.2482_OOT-RAW-R2_-0.1737_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合平均面积,16,0.6389,-0.2501,-0.174,0.1,16星_Ridge_CV-R2_0.6389_OOT-SMOOTH-R2_-0.2501_OOT-RAW-R2_-0.1740_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,34,0.8034,-0.2526,-0.1754,0.5542,34星_Ridge_CV-R2_0.8034_OOT-SMOOTH-R2_-0.2526_OOT-RAW-R2_-0.1754_Params_alpha_0.5542.png
3D_V,整库_w=5,5,合平均面积,17,0.6261,-0.2604,-0.1817,0.1,17星_Ridge_CV-R2_0.6261_OOT-SMOOTH-R2_-0.2604_OOT-RAW-R2_-0.1817_Params_alpha_0.1000.png
6D,整库_w=5,5,合面积,13,0.7364,-0.2605,-0.1902,0.1,13星_Ridge_CV-R2_0.7364_OOT-SMOOTH-R2_-0.2605_OOT-RAW-R2_-0.1902_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,33,0.807,-0.2743,-0.1912,0.4507,33星_Ridge_CV-R2_0.8070_OOT-SMOOTH-R2_-0.2743_OOT-RAW-R2_-0.1912_Params_alpha_0.4507.png
3D_V,整库_w=5,5,合面积,32,0.8106,-0.2829,-0.1976,0.3518,32星_Ridge_CV-R2_0.8106_OOT-SMOOTH-R2_-0.2829_OOT-RAW-R2_-0.1976_Params_alpha_0.3518.png
3D_V,整库_w=5,5,合面积,13,0.679,-0.2818,-0.1988,0.1,13星_Ridge_CV-R2_0.6790_OOT-SMOOTH-R2_-0.2818_OOT-RAW-R2_-0.1988_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,15,0.7263,-0.3054,-0.2155,0.1,15星_Ridge_CV-R2_0.7263_OOT-SMOOTH-R2_-0.3054_OOT-RAW-R2_-0.2155_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,16,0.7183,-0.3076,-0.2171,0.1,16星_Ridge_CV-R2_0.7183_OOT-SMOOTH-R2_-0.3076_OOT-RAW-R2_-0.2171_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,30,0.8155,-0.3108,-0.2176,0.2506,30星_Ridge_CV-R2_0.8155_OOT-SMOOTH-R2_-0.3108_OOT-RAW-R2_-0.2176_Params_alpha_0.2506.png
3D_V,整库_w=4,4,合面积,14,0.7164,-0.3319,-0.2347,0.1,14星_Ridge_CV-R2_0.7164_OOT-SMOOTH-R2_-0.3319_OOT-RAW-R2_-0.2347_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,17,0.7135,-0.3536,-0.2503,0.1,17星_Ridge_CV-R2_0.7135_OOT-SMOOTH-R2_-0.3536_OOT-RAW-R2_-0.2503_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,28,0.8224,-0.3557,-0.2507,0.1533,28星_Ridge_CV-R2_0.8224_OOT-SMOOTH-R2_-0.3557_OOT-RAW-R2_-0.2507_Params_alpha_0.1533.png
3D_V,整库_w=5,5,合面积,29,0.8171,-0.3594,-0.2533,0.2055,29星_Ridge_CV-R2_0.8171_OOT-SMOOTH-R2_-0.3594_OOT-RAW-R2_-0.2533_Params_alpha_0.2055.png
3D_V,整库_w=5,5,合面积,14,0.716,-0.3687,-0.2617,0.1,14星_Ridge_CV-R2_0.7160_OOT-SMOOTH-R2_-0.3687_OOT-RAW-R2_-0.2617_Params_alpha_0.1000.png
6D,整库_w=4,4,合面积,21,0.7691,-0.3802,-0.2652,2.4244,21星_Ridge_CV-R2_0.7691_OOT-SMOOTH-R2_-0.3802_OOT-RAW-R2_-0.2652_Params_alpha_2.4244.png
3D_V,整库_w=5,5,合面积,40,0.7976,-0.3979,-0.283,0.7047,40星_Ridge_CV-R2_0.7976_OOT-SMOOTH-R2_-0.3979_OOT-RAW-R2_-0.2830_Params_alpha_0.7047.png
6D,整库_w=4,4,合平均面积,30,0.7177,-0.4035,-0.286,1.8614,30星_Ridge_CV-R2_0.7177_OOT-SMOOTH-R2_-0.4035_OOT-RAW-R2_-0.2860_Params_alpha_1.8614.png
6D,整库_w=4,4,合平均面积,28,0.7252,-0.4224,-0.3009,1.1183,28星_Ridge_CV-R2_0.7252_OOT-SMOOTH-R2_-0.4224_OOT-RAW-R2_-0.3009_Params_alpha_1.1183.png
3D_V,整库_w=5,5,合面积,39,0.8057,-0.4383,-0.3122,0.6424,39星_Ridge_CV-R2_0.8057_OOT-SMOOTH-R2_-0.4383_OOT-RAW-R2_-0.3122_Params_alpha_0.6424.png
3D_V,整库_w=4,4,合面积,21,0.7677,-0.442,-0.3144,0.1,21星_Ridge_CV-R2_0.7677_OOT-SMOOTH-R2_-0.4420_OOT-RAW-R2_-0.3144_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,30,0.7573,-0.4738,-0.332,0.3833,30星_Ridge_CV-R2_0.7573_OOT-SMOOTH-R2_-0.4738_OOT-RAW-R2_-0.3320_Params_alpha_0.3833.png
3D_V,整库_w=5,5,合面积,15,0.7181,-0.4651,-0.3321,0.1,15星_Ridge_CV-R2_0.7181_OOT-SMOOTH-R2_-0.4651_OOT-RAW-R2_-0.3321_Params_alpha_0.1000.png
6D,整库_w=4,4,合面积,22,0.769,-0.4739,-0.3336,2.547,22星_Ridge_CV-R2_0.7690_OOT-SMOOTH-R2_-0.4739_OOT-RAW-R2_-0.3336_Params_alpha_2.5470.png
6D,整库_w=4,4,合平均面积,27,0.7494,-0.4717,-0.3367,0.9653,27星_Ridge_CV-R2_0.7494_OOT-SMOOTH-R2_-0.4717_OOT-RAW-R2_-0.3367_Params_alpha_0.9653.png
3D_V,整库_w=4,4,合面积,32,0.7541,-0.482,-0.3379,0.4007,32星_Ridge_CV-R2_0.7541_OOT-SMOOTH-R2_-0.4820_OOT-RAW-R2_-0.3379_Params_alpha_0.4007.png
3D_V,整库_w=4,4,合面积,29,0.7575,-0.5188,-0.3644,0.3307,29星_Ridge_CV-R2_0.7575_OOT-SMOOTH-R2_-0.5188_OOT-RAW-R2_-0.3644_Params_alpha_0.3307.png
6D,整库_w=4,4,合平均面积,31,0.7193,-0.5158,-0.3666,2.1158,31星_Ridge_CV-R2_0.7193_OOT-SMOOTH-R2_-0.5158_OOT-RAW-R2_-0.3666_Params_alpha_2.1158.png
3D_V,整库_w=4,4,合面积,22,0.7621,-0.5157,-0.3682,0.2239,22星_Ridge_CV-R2_0.7621_OOT-SMOOTH-R2_-0.5157_OOT-RAW-R2_-0.3682_Params_alpha_0.2239.png
3D,整库_w=4,4,合数,16,0.7375,-0.5534,-0.3946,0.1,16星_Ridge_CV-R2_0.7375_OOT-SMOOTH-R2_-0.5534_OOT-RAW-R2_-0.3946_Params_alpha_0.1000.png
3D,整库_w=5,5,合面积,12,0.6877,-0.5704,-0.4081,0.1,12星_Ridge_CV-R2_0.6877_OOT-SMOOTH-R2_-0.5704_OOT-RAW-R2_-0.4081_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合数,19,0.7716,-0.5559,-0.4111,0.1,19星_Ridge_CV-R2_0.7716_OOT-SMOOTH-R2_-0.5559_OOT-RAW-R2_-0.4111_Params_alpha_0.1000.png
6D,整库_w=5,5,合平均面积,14,0.6857,-0.5557,-0.4122,0.1,14星_Ridge_CV-R2_0.6857_OOT-SMOOTH-R2_-0.5557_OOT-RAW-R2_-0.4122_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,18,0.7217,-0.6049,-0.4322,0.1,18星_Ridge_CV-R2_0.7217_OOT-SMOOTH-R2_-0.6049_OOT-RAW-R2_-0.4322_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,28,0.7608,-0.6176,-0.4363,0.2913,28星_Ridge_CV-R2_0.7608_OOT-SMOOTH-R2_-0.6176_OOT-RAW-R2_-0.4363_Params_alpha_0.2913.png
3D,整库_w=5,5,合面积,13,0.6879,-0.6105,-0.4375,0.1,13星_Ridge_CV-R2_0.6879_OOT-SMOOTH-R2_-0.6105_OOT-RAW-R2_-0.4375_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,38,0.8068,-0.6347,-0.4558,0.5358,38星_Ridge_CV-R2_0.8068_OOT-SMOOTH-R2_-0.6347_OOT-RAW-R2_-0.4558_Params_alpha_0.5358.png
6D,整库_w=4,4,合平均面积,29,0.7202,-0.6399,-0.4585,1.1899,29星_Ridge_CV-R2_0.7202_OOT-SMOOTH-R2_-0.6399_OOT-RAW-R2_-0.4585_Params_alpha_1.1899.png
3D_V,整库_w=4,4,合数,20,0.7618,-0.6233,-0.4596,0.2863,20星_Ridge_CV-R2_0.7618_OOT-SMOOTH-R2_-0.6233_OOT-RAW-R2_-0.4596_Params_alpha_0.2863.png
6D,整库_w=4,4,合平均面积,9,0.5742,-0.6512,-0.4732,0.1,9星_Ridge_CV-R2_0.5742_OOT-SMOOTH-R2_-0.6512_OOT-RAW-R2_-0.4732_Params_alpha_0.1000.png
3D,整库_w=5,5,合面积,15,0.7204,-0.6835,-0.4888,0.1,15星_Ridge_CV-R2_0.7204_OOT-SMOOTH-R2_-0.6835_OOT-RAW-R2_-0.4888_Params_alpha_0.1000.png
3D,整库_w=5,5,合面积,14,0.7218,-0.6881,-0.4916,0.1,14星_Ridge_CV-R2_0.7218_OOT-SMOOTH-R2_-0.6881_OOT-RAW-R2_-0.4916_Params_alpha_0.1000.png
3D,整库_w=4,4,合面积,23,0.7952,-0.7081,-0.5028,0.2828,23星_Ridge_CV-R2_0.7952_OOT-SMOOTH-R2_-0.7081_OOT-RAW-R2_-0.5028_Params_alpha_0.2828.png
6D,整库_w=5,5,合平均面积,13,0.5603,-0.7142,-0.5227,0.1,13星_Ridge_CV-R2_0.5603_OOT-SMOOTH-R2_-0.7142_OOT-RAW-R2_-0.5227_Params_alpha_0.1000.png
3D,整库_w=4,4,合面积,13,0.7195,-0.7407,-0.5293,0.1,13星_Ridge_CV-R2_0.7195_OOT-SMOOTH-R2_-0.7407_OOT-RAW-R2_-0.5293_Params_alpha_0.1000.png
3D,整库_w=4,4,合面积,14,0.7205,-0.7453,-0.533,0.1,14星_Ridge_CV-R2_0.7205_OOT-SMOOTH-R2_-0.7453_OOT-RAW-R2_-0.5330_Params_alpha_0.1000.png
3D,整库_w=5,5,合面积,10,0.5587,-0.7741,-0.5563,0.1,10星_Ridge_CV-R2_0.5587_OOT-SMOOTH-R2_-0.7741_OOT-RAW-R2_-0.5563_Params_alpha_0.1000.png
3D,整库_w=4,4,合平均面积,10,0.5587,-0.7741,-0.5563,0.1,10星_Ridge_CV-R2_0.5587_OOT-SMOOTH-R2_-0.7741_OOT-RAW-R2_-0.5563_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合数,23,0.7508,-0.7616,-0.5605,1.9284,23星_Ridge_CV-R2_0.7508_OOT-SMOOTH-R2_-0.7616_OOT-RAW-R2_-0.5605_Params_alpha_1.9284.png
3D_V,整库_w=5,5,合面积,37,0.809,-0.7905,-0.5688,0.5898,37星_Ridge_CV-R2_0.8090_OOT-SMOOTH-R2_-0.7905_OOT-RAW-R2_-0.5688_Params_alpha_0.5898.png
6D,整库_w=4,4,合面积,23,0.8004,-0.7907,-0.5723,0.1,23星_Ridge_CV-R2_0.8004_OOT-SMOOTH-R2_-0.7907_OOT-RAW-R2_-0.5723_Params_alpha_0.1000.png
3D,整库_w=4,4,合平均面积,11,0.5496,-0.8097,-0.5823,0.1,11星_Ridge_CV-R2_0.5496_OOT-SMOOTH-R2_-0.8097_OOT-RAW-R2_-0.5823_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,36,0.8139,-0.8124,-0.5847,0.483,36星_Ridge_CV-R2_0.8139_OOT-SMOOTH-R2_-0.8124_OOT-RAW-R2_-0.5847_Params_alpha_0.4830.png
6D,整库_w=5,5,合面积,26,0.7968,-0.8038,-0.5881,0.1,26星_Ridge_CV-R2_0.7968_OOT-SMOOTH-R2_-0.8038_OOT-RAW-R2_-0.5881_Params_alpha_0.1000.png
6D,整库_w=5,5,合平均面积,11,0.5497,-0.8486,-0.6174,0.1,11星_Ridge_CV-R2_0.5497_OOT-SMOOTH-R2_-0.8486_OOT-RAW-R2_-0.6174_Params_alpha_0.1000.png
6D,整库_w=4,4,合面积,9,0.4152,-0.853,-0.6194,0.1,9星_Ridge_CV-R2_0.4152_OOT-SMOOTH-R2_-0.8530_OOT-RAW-R2_-0.6194_Params_alpha_0.1000.png
6D,整库_w=5,5,合面积,9,0.4152,-0.853,-0.6194,0.1,9星_Ridge_CV-R2_0.4152_OOT-SMOOTH-R2_-0.8530_OOT-RAW-R2_-0.6194_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,18,0.7484,-0.8753,-0.6294,0.1574,18星_Ridge_CV-R2_0.7484_OOT-SMOOTH-R2_-0.8753_OOT-RAW-R2_-0.6294_Params_alpha_0.1574.png
3D_V,整库_w=4,4,合面积,23,0.7894,-0.8897,-0.6382,0.1,23星_Ridge_CV-R2_0.7894_OOT-SMOOTH-R2_-0.8897_OOT-RAW-R2_-0.6382_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,31,0.7619,-0.9141,-0.6519,0.1,31星_Ridge_CV-R2_0.7619_OOT-SMOOTH-R2_-0.9141_OOT-RAW-R2_-0.6519_Params_alpha_0.1000.png
6D,整库_w=5,5,合平均面积,15,0.6781,-0.893,-0.659,0.1,15星_Ridge_CV-R2_0.6781_OOT-SMOOTH-R2_-0.8930_OOT-RAW-R2_-0.6590_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,20,0.7568,-0.9187,-0.6607,0.1,20星_Ridge_CV-R2_0.7568_OOT-SMOOTH-R2_-0.9187_OOT-RAW-R2_-0.6607_Params_alpha_0.1000.png
6D,整库_w=4,4,合平均面积,26,0.7402,-0.9166,-0.6623,2.8495,26星_Ridge_CV-R2_0.7402_OOT-SMOOTH-R2_-0.9166_OOT-RAW-R2_-0.6623_Params_alpha_2.8495.png
3D_V,整库_w=4,4,合面积,26,0.7673,-0.9334,-0.666,0.2068,26星_Ridge_CV-R2_0.7673_OOT-SMOOTH-R2_-0.9334_OOT-RAW-R2_-0.6660_Params_alpha_0.2068.png
3D_V,整库_w=4,4,合面积,19,0.759,-0.9399,-0.6758,0.1,19星_Ridge_CV-R2_0.7590_OOT-SMOOTH-R2_-0.9399_OOT-RAW-R2_-0.6758_Params_alpha_0.1000.png
3D,整库_w=4,4,合平均面积,9,0.5184,-0.9475,-0.684,0.1,9星_Ridge_CV-R2_0.5184_OOT-SMOOTH-R2_-0.9475_OOT-RAW-R2_-0.6840_Params_alpha_0.1000.png
6D,整库_w=4,4,合平均面积,25,0.7487,-0.9453,-0.6843,3.0239,25星_Ridge_CV-R2_0.7487_OOT-SMOOTH-R2_-0.9453_OOT-RAW-R2_-0.6843_Params_alpha_3.0239.png
3D_V,整库_w=4,4,合平均面积,21,0.7084,-0.9575,-0.6855,1.5854,21星_Ridge_CV-R2_0.7084_OOT-SMOOTH-R2_-0.9575_OOT-RAW-R2_-0.6855_Params_alpha_1.5854.png
