维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D,整库_w=4,4,合平均面积,15,0.4297,0.3973,0.305,5.8663,15星_Ridge_CV-R2_0.4297_OOT-SMOOTH-R2_0.3973_OOT-RAW-R2_0.3050_Params_alpha_5.8663.png
3D,整库_w=4,4,合平均面积,14,0.4006,0.3602,0.2748,4.3967,14星_Ridge_CV-R2_0.4006_OOT-SMOOTH-R2_0.3602_OOT-RAW-R2_0.2748_Params_alpha_4.3967.png
6D,整库_w=5,5,合平均面积,15,0.4616,0.3244,0.2478,421.4879,15星_Ridge_CV-R2_0.4616_OOT-SMOOTH-R2_0.3244_OOT-RAW-R2_0.2478_Params_alpha_421.4879.png
3D_V,整库_w=5,5,合平均面积,15,0.478,0.3188,0.243,216.9173,15星_Ridge_CV-R2_0.4780_OOT-SMOOTH-R2_0.3188_OOT-RAW-R2_0.2430_Params_alpha_216.9173.png
3D,整库_w=5,5,合平均面积,15,0.4587,0.3013,0.2293,149.9743,15星_Ridge_CV-R2_0.4587_OOT-SMOOTH-R2_0.3013_OOT-RAW-R2_0.2293_Params_alpha_149.9743.png
6D,整库_w=5,5,合平均面积,18,0.4337,0.2879,0.2201,456.9556,18星_Ridge_CV-R2_0.4337_OOT-SMOOTH-R2_0.2879_OOT-RAW-R2_0.2201_Params_alpha_456.9556.png
6D,整库_w=5,5,合平均面积,17,0.4395,0.2864,0.2189,442.0663,17星_Ridge_CV-R2_0.4395_OOT-SMOOTH-R2_0.2864_OOT-RAW-R2_0.2189_Params_alpha_442.0663.png
3D_V,整库_w=5,5,合平均面积,17,0.4515,0.2805,0.2148,262.2625,17星_Ridge_CV-R2_0.4515_OOT-SMOOTH-R2_0.2805_OOT-RAW-R2_0.2148_Params_alpha_262.2625.png
6D,整库_w=5,5,合平均面积,16,0.4513,0.2802,0.2141,436.1751,16星_Ridge_CV-R2_0.4513_OOT-SMOOTH-R2_0.2802_OOT-RAW-R2_0.2141_Params_alpha_436.1751.png
3D_V,整库_w=5,5,合平均面积,18,0.4474,0.2787,0.2134,265.9668,18星_Ridge_CV-R2_0.4474_OOT-SMOOTH-R2_0.2787_OOT-RAW-R2_0.2134_Params_alpha_265.9668.png
3D_V,整库_w=5,5,合平均面积,16,0.459,0.2744,0.21,254.9809,16星_Ridge_CV-R2_0.4590_OOT-SMOOTH-R2_0.2744_OOT-RAW-R2_0.2100_Params_alpha_254.9809.png
6D,整库_w=5,5,合平均面积,19,0.4286,0.2741,0.2095,421.132,19星_Ridge_CV-R2_0.4286_OOT-SMOOTH-R2_0.2741_OOT-RAW-R2_0.2095_Params_alpha_421.1320.png
