维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D,整库_w=4,4,合平均面积,21,0.7281,0.5876,0.4431,0.1339,21星_Ridge_CV-R2_0.7281_OOT-SMOOTH-R2_0.5876_OOT-RAW-R2_0.4431_Params_alpha_0.1339.png
3D,整库_w=4,4,合平均面积,20,0.7409,0.5064,0.3819,0.1819,20星_Ridge_CV-R2_0.7409_OOT-SMOOTH-R2_0.5064_OOT-RAW-R2_0.3819_Params_alpha_0.1819.png
3D_V,整库_w=4,4,合平均面积,26,0.658,0.4985,0.3705,1.9634,26星_Ridge_CV-R2_0.6580_OOT-SMOOTH-R2_0.4985_OOT-RAW-R2_0.3705_Params_alpha_1.9634.png
3D_V,整库_w=4,4,合平均面积,27,0.6512,0.4974,0.3696,1.9657,27星_Ridge_CV-R2_0.6512_OOT-SMOOTH-R2_0.4974_OOT-RAW-R2_0.3696_Params_alpha_1.9657.png
3D_V,整库_w=5,5,合面积,28,0.5282,0.4779,0.3599,1.0442,28星_Ridge_CV-R2_0.5282_OOT-SMOOTH-R2_0.4779_OOT-RAW-R2_0.3599_Params_alpha_1.0442.png
6D,整库_w=4,4,合面积,10,0.6418,0.4713,0.3593,0.1,10星_Ridge_CV-R2_0.6418_OOT-SMOOTH-R2_0.4713_OOT-RAW-R2_0.3593_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合平均面积,34,0.6577,0.4635,0.3458,7.3763,34星_Ridge_CV-R2_0.6577_OOT-SMOOTH-R2_0.4635_OOT-RAW-R2_0.3458_Params_alpha_7.3763.png
3D_V,整库_w=4,4,合平均面积,23,0.6763,0.4597,0.3401,0.5971,23星_Ridge_CV-R2_0.6763_OOT-SMOOTH-R2_0.4597_OOT-RAW-R2_0.3401_Params_alpha_0.5971.png
6D,整库_w=4,4,合面积,15,0.7044,0.4403,0.3377,0.1,15星_Ridge_CV-R2_0.7044_OOT-SMOOTH-R2_0.4403_OOT-RAW-R2_0.3377_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合平均面积,24,0.6722,0.4547,0.3375,1.3256,24星_Ridge_CV-R2_0.6722_OOT-SMOOTH-R2_0.4547_OOT-RAW-R2_0.3375_Params_alpha_1.3256.png
3D_V,整库_w=5,5,合平均面积,41,0.5903,0.4476,0.3333,6.7372,41星_Ridge_CV-R2_0.5903_OOT-SMOOTH-R2_0.4476_OOT-RAW-R2_0.3333_Params_alpha_6.7372.png
3D,整库_w=5,5,合平均面积,32,0.6993,0.4446,0.332,0.1,32星_Ridge_CV-R2_0.6993_OOT-SMOOTH-R2_0.4446_OOT-RAW-R2_0.3320_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合平均面积,38,0.6116,0.4453,0.3319,6.5277,38星_Ridge_CV-R2_0.6116_OOT-SMOOTH-R2_0.4453_OOT-RAW-R2_0.3319_Params_alpha_6.5277.png
3D_V,整库_w=5,5,合面积,27,0.5407,0.4403,0.3317,0.8981,27星_Ridge_CV-R2_0.5407_OOT-SMOOTH-R2_0.4403_OOT-RAW-R2_0.3317_Params_alpha_0.8981.png
