维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=5,5,合面积,31,0.4423,0.3635,0.2753,1.3898,31星_Ridge_CV-R2_0.4423_OOT-SMOOTH-R2_0.3635_OOT-RAW-R2_0.2753_Params_alpha_1.3898.png
3D_V,整库_w=5,5,合面积,30,0.4429,0.348,0.264,1.4923,30星_Ridge_CV-R2_0.4429_OOT-SMOOTH-R2_0.3480_OOT-RAW-R2_0.2640_Params_alpha_1.4923.png
3D_V,整库_w=5,5,合面积,28,0.4666,0.3398,0.2578,1.9056,28星_Ridge_CV-R2_0.4666_OOT-SMOOTH-R2_0.3398_OOT-RAW-R2_0.2578_Params_alpha_1.9056.png
3D_V,整库_w=4,4,合面积,23,0.4973,0.151,0.1153,12.6356,23星_Ridge_CV-R2_0.4973_OOT-SMOOTH-R2_0.1510_OOT-RAW-R2_0.1153_Params_alpha_12.6356.png
3D_V,整库_w=4,4,合面积,21,0.4928,0.1468,0.112,15.3616,21星_Ridge_CV-R2_0.4928_OOT-SMOOTH-R2_0.1468_OOT-RAW-R2_0.1120_Params_alpha_15.3616.png
3D,整库_w=4,4,合面积,21,0.5089,0.1379,0.1067,13.097,21星_Ridge_CV-R2_0.5089_OOT-SMOOTH-R2_0.1379_OOT-RAW-R2_0.1067_Params_alpha_13.0970.png
3D,整库_w=4,4,合面积,20,0.4457,0.1249,0.0963,6.6628,20星_Ridge_CV-R2_0.4457_OOT-SMOOTH-R2_0.1249_OOT-RAW-R2_0.0963_Params_alpha_6.6628.png
6D,整库_w=4,4,合面积,21,0.4639,0.1221,0.0934,60.6765,21星_Ridge_CV-R2_0.4639_OOT-SMOOTH-R2_0.1221_OOT-RAW-R2_0.0934_Params_alpha_60.6765.png
3D_V,整库_w=4,4,合面积,19,0.4592,0.1111,0.0853,15.396,19星_Ridge_CV-R2_0.4592_OOT-SMOOTH-R2_0.1111_OOT-RAW-R2_0.0853_Params_alpha_15.3960.png
3D,整库_w=4,4,合面积,23,0.5069,0.1047,0.0808,17.0886,23星_Ridge_CV-R2_0.5069_OOT-SMOOTH-R2_0.1047_OOT-RAW-R2_0.0808_Params_alpha_17.0886.png
3D_V,整库_w=4,4,合面积,18,0.4599,0.1048,0.0806,13.6519,18星_Ridge_CV-R2_0.4599_OOT-SMOOTH-R2_0.1048_OOT-RAW-R2_0.0806_Params_alpha_13.6519.png
3D_V,整库_w=4,4,合面积,20,0.4553,0.1024,0.0786,15.8453,20星_Ridge_CV-R2_0.4553_OOT-SMOOTH-R2_0.1024_OOT-RAW-R2_0.0786_Params_alpha_15.8453.png
6D,整库_w=5,5,合平均面积,23,0.4265,0.0823,0.0643,701.9215,23星_Ridge_CV-R2_0.4265_OOT-SMOOTH-R2_0.0823_OOT-RAW-R2_0.0643_Params_alpha_701.9215.png
6D,整库_w=4,4,合面积,23,0.4686,0.0794,0.0612,65.7861,23星_Ridge_CV-R2_0.4686_OOT-SMOOTH-R2_0.0794_OOT-RAW-R2_0.0612_Params_alpha_65.7861.png
3D_V,整库_w=5,5,合平均面积,23,0.458,0.0737,0.0583,420.2025,23星_Ridge_CV-R2_0.4580_OOT-SMOOTH-R2_0.0737_OOT-RAW-R2_0.0583_Params_alpha_420.2025.png
3D_V,整库_w=4,4,合面积,22,0.4964,0.0665,0.0518,16.4933,22星_Ridge_CV-R2_0.4964_OOT-SMOOTH-R2_0.0665_OOT-RAW-R2_0.0518_Params_alpha_16.4933.png
