维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=5,5,合面积,15,0.7291,0.4643,0.351,0.001,15星_Ridge_CV-R2_0.7291_OOT-SMOOTH-R2_0.4643_OOT-RAW-R2_0.3510_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,21,0.7293,0.412,0.3112,1.2437,21星_Ridge_CV-R2_0.7293_OOT-SMOOTH-R2_0.4120_OOT-RAW-R2_0.3112_Params_alpha_1.2437.png
3D_V,整库_w=4,4,合面积,13,0.7389,0.3414,0.2583,0.001,13星_Ridge_CV-R2_0.7389_OOT-SMOOTH-R2_0.3414_OOT-RAW-R2_0.2583_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,14,0.7277,0.3278,0.2485,0.001,14星_Ridge_CV-R2_0.7277_OOT-SMOOTH-R2_0.3278_OOT-RAW-R2_0.2485_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,35,0.7526,0.3115,0.2356,0.2812,35星_Ridge_CV-R2_0.7526_OOT-SMOOTH-R2_0.3115_OOT-RAW-R2_0.2356_Params_alpha_0.2812.png
3D_V,整库_w=4,4,合面积,22,0.7265,0.2997,0.227,1.9707,22星_Ridge_CV-R2_0.7265_OOT-SMOOTH-R2_0.2997_OOT-RAW-R2_0.2270_Params_alpha_1.9707.png
3D_V,整库_w=5,5,合面积,14,0.7276,0.29,0.2204,0.001,14星_Ridge_CV-R2_0.7276_OOT-SMOOTH-R2_0.2900_OOT-RAW-R2_0.2204_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,43,0.7403,0.2897,0.219,0.5516,43星_Ridge_CV-R2_0.7403_OOT-SMOOTH-R2_0.2897_OOT-RAW-R2_0.2190_Params_alpha_0.5516.png
3D_V,整库_w=5,5,合面积,34,0.7578,0.2557,0.1939,0.2608,34星_Ridge_CV-R2_0.7578_OOT-SMOOTH-R2_0.2557_OOT-RAW-R2_0.1939_Params_alpha_0.2608.png
3D_V,整库_w=5,5,合面积,30,0.7755,0.2401,0.1828,0.1836,30星_Ridge_CV-R2_0.7755_OOT-SMOOTH-R2_0.2401_OOT-RAW-R2_0.1828_Params_alpha_0.1836.png
3D_V,整库_w=5,5,合面积,45,0.7293,0.2251,0.1713,1.5024,45星_Ridge_CV-R2_0.7293_OOT-SMOOTH-R2_0.2251_OOT-RAW-R2_0.1713_Params_alpha_1.5024.png
3D_V,整库_w=5,5,合面积,33,0.7625,0.2118,0.161,0.2093,33星_Ridge_CV-R2_0.7625_OOT-SMOOTH-R2_0.2118_OOT-RAW-R2_0.1610_Params_alpha_0.2093.png
3D_V,整库_w=4,4,合面积,20,0.7124,0.2043,0.157,0.001,20星_Ridge_CV-R2_0.7124_OOT-SMOOTH-R2_0.2043_OOT-RAW-R2_0.1570_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,40,0.743,0.2008,0.1505,0.377,40星_Ridge_CV-R2_0.7430_OOT-SMOOTH-R2_0.2008_OOT-RAW-R2_0.1505_Params_alpha_0.3770.png
3D_V,整库_w=5,5,合面积,39,0.7592,0.1854,0.1396,0.3841,39星_Ridge_CV-R2_0.7592_OOT-SMOOTH-R2_0.1854_OOT-RAW-R2_0.1396_Params_alpha_0.3841.png
6D,整库_w=4,4,合面积,11,0.7228,0.1835,0.1357,0.001,11星_Ridge_CV-R2_0.7228_OOT-SMOOTH-R2_0.1835_OOT-RAW-R2_0.1357_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,41,0.7541,0.1773,0.1333,0.4168,41星_Ridge_CV-R2_0.7541_OOT-SMOOTH-R2_0.1773_OOT-RAW-R2_0.1333_Params_alpha_0.4168.png
3D_V,整库_w=5,5,合面积,28,0.7904,0.1628,0.1253,0.1366,28星_Ridge_CV-R2_0.7904_OOT-SMOOTH-R2_0.1628_OOT-RAW-R2_0.1253_Params_alpha_0.1366.png
3D_V,整库_w=5,5,合面积,29,0.7767,0.162,0.1246,0.1704,29星_Ridge_CV-R2_0.7767_OOT-SMOOTH-R2_0.1620_OOT-RAW-R2_0.1246_Params_alpha_0.1704.png
3D_V,整库_w=5,5,合面积,31,0.777,0.1326,0.1015,0.1778,31星_Ridge_CV-R2_0.7770_OOT-SMOOTH-R2_0.1326_OOT-RAW-R2_0.1015_Params_alpha_0.1778.png
3D_V,整库_w=5,5,合面积,32,0.7708,0.1253,0.096,0.1901,32星_Ridge_CV-R2_0.7708_OOT-SMOOTH-R2_0.1253_OOT-RAW-R2_0.0960_Params_alpha_0.1901.png
3D_V,整库_w=5,5,合面积,38,0.7613,0.1221,0.0921,0.3557,38星_Ridge_CV-R2_0.7613_OOT-SMOOTH-R2_0.1221_OOT-RAW-R2_0.0921_Params_alpha_0.3557.png
3D,整库_w=4,4,合面积,22,0.7561,0.1089,0.0882,0.3157,22星_Ridge_CV-R2_0.7561_OOT-SMOOTH-R2_0.1089_OOT-RAW-R2_0.0882_Params_alpha_0.3157.png
3D_V,整库_w=5,5,合面积,37,0.7647,0.1145,0.0871,0.3363,37星_Ridge_CV-R2_0.7647_OOT-SMOOTH-R2_0.1145_OOT-RAW-R2_0.0871_Params_alpha_0.3363.png
3D,整库_w=5,5,合面积,15,0.7265,0.0485,0.0418,0.001,15星_Ridge_CV-R2_0.7265_OOT-SMOOTH-R2_0.0485_OOT-RAW-R2_0.0418_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,27,0.6376,0.0492,0.0376,100,27星_Ridge_CV-R2_0.6376_OOT-SMOOTH-R2_0.0492_OOT-RAW-R2_0.0376_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合平均面积,24,0.6445,0.0455,0.0351,100,24星_Ridge_CV-R2_0.6445_OOT-SMOOTH-R2_0.0455_OOT-RAW-R2_0.0351_Params_alpha_100.0000.png
3D_V,整库_w=4,4,合面积,16,0.705,0.03,0.0242,8.6602,16星_Ridge_CV-R2_0.7050_OOT-SMOOTH-R2_0.0300_OOT-RAW-R2_0.0242_Params_alpha_8.6602.png
3D,整库_w=5,5,合面积,14,0.7224,0.0065,0.0102,0.006,14星_Ridge_CV-R2_0.7224_OOT-SMOOTH-R2_0.0065_OOT-RAW-R2_0.0102_Params_alpha_0.0060.png
6D,整库_w=5,5,合平均面积,16,0.682,0.0129,0.0045,0.3571,16星_Ridge_CV-R2_0.6820_OOT-SMOOTH-R2_0.0129_OOT-RAW-R2_0.0045_Params_alpha_0.3571.png
6D,整库_w=5,5,合平均面积,17,0.6553,0.0039,-0.0024,0.4355,17星_Ridge_CV-R2_0.6553_OOT-SMOOTH-R2_0.0039_OOT-RAW-R2_-0.0024_Params_alpha_0.4355.png
3D,整库_w=5,5,合平均面积,19,0.6455,-0.0059,-0.0047,64.7735,19星_Ridge_CV-R2_0.6455_OOT-SMOOTH-R2_-0.0059_OOT-RAW-R2_-0.0047_Params_alpha_64.7735.png
3D,整库_w=4,4,合面积,13,0.7267,-0.0136,-0.0067,0.7215,13星_Ridge_CV-R2_0.7267_OOT-SMOOTH-R2_-0.0136_OOT-RAW-R2_-0.0067_Params_alpha_0.7215.png
3D,整库_w=5,5,合平均面积,18,0.6556,-0.0089,-0.0076,53.9039,18星_Ridge_CV-R2_0.6556_OOT-SMOOTH-R2_-0.0089_OOT-RAW-R2_-0.0076_Params_alpha_53.9039.png
3D,整库_w=4,4,合面积,14,0.7192,-0.0161,-0.0087,1.2676,14星_Ridge_CV-R2_0.7192_OOT-SMOOTH-R2_-0.0161_OOT-RAW-R2_-0.0087_Params_alpha_1.2676.png
3D_V,整库_w=4,4,合平均面积,30,0.7023,-0.0176,-0.0089,1.0364,30星_Ridge_CV-R2_0.7023_OOT-SMOOTH-R2_-0.0176_OOT-RAW-R2_-0.0089_Params_alpha_1.0364.png
3D_V,整库_w=5,5,合面积,13,0.7281,-0.0168,-0.0114,0.001,13星_Ridge_CV-R2_0.7281_OOT-SMOOTH-R2_-0.0168_OOT-RAW-R2_-0.0114_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,19,0.7258,-0.0287,-0.0166,0.001,19星_Ridge_CV-R2_0.7258_OOT-SMOOTH-R2_-0.0287_OOT-RAW-R2_-0.0166_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,18,0.7267,-0.0333,-0.0216,0.001,18星_Ridge_CV-R2_0.7267_OOT-SMOOTH-R2_-0.0333_OOT-RAW-R2_-0.0216_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,12,0.7408,-0.0299,-0.0217,0.001,12星_Ridge_CV-R2_0.7408_OOT-SMOOTH-R2_-0.0299_OOT-RAW-R2_-0.0217_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,15,0.7221,-0.0362,-0.0234,0.001,15星_Ridge_CV-R2_0.7221_OOT-SMOOTH-R2_-0.0362_OOT-RAW-R2_-0.0234_Params_alpha_0.0010.png
