Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,69,82.78,82.82,83.36,0.0912,94,82.67,82.62,113.71,0.2092,-30.35,1
2,Ven,1,False,69,82.73,82.65,83.4,0.14,93,82.77,82.67,112.35,0.2783,-28.95,1
3,Mer+Ven,2,False,138,165.04,165.01,83.62,0.0252,186,165.0,164.83,112.72,0.1084,-29.11,1
8,Mar,1,False,68,82.77,82.82,82.16,0.1968,73,82.53,82.46,88.45,0.4259,-6.3,1
9,Mer+Mar,2,False,136,165.05,165.18,82.4,0.0344,167,164.73,164.63,101.38,0.881,-18.98,1
10,Ven+Mar,2,False,136,165.04,165.01,82.41,0.0492,166,164.85,164.67,100.7,0.9422,-18.29,1
11,Mer+Ven+Mar,3,False,204,246.86,246.91,82.64,0.0088,259,246.62,246.38,105.02,0.4659,-22.38,1
16,Jup,1,False,82,82.83,82.76,99.0,0.9994,89,82.52,82.55,107.85,0.4583,-8.85,1
17,Mer+Jup,2,False,151,165.14,165.11,91.44,0.23,183,164.73,164.71,111.09,0.16,-19.65,1
18,Ven+Jup,2,False,151,165.09,164.95,91.46,0.2456,182,164.84,164.76,110.41,0.1924,-18.95,1
19,Mer+Ven+Jup,3,False,220,246.94,246.84,89.09,0.0652,275,246.61,246.46,111.51,0.0776,-22.42,1
24,Mar+Jup,2,False,149,165.12,165.11,90.24,0.2492,162,164.59,164.55,98.43,0.9174,-8.19,1
25,Mer+Mar+Jup,3,False,217,246.94,247.01,87.88,0.0536,256,246.33,246.26,103.92,0.5707,-16.05,1
26,Ven+Mar+Jup,3,False,217,246.93,246.85,87.88,0.0736,255,246.46,246.31,103.47,0.6023,-15.59,1
27,Mer+Ven+Mar+Jup,4,False,285,328.29,328.29,86.81,0.0144,348,327.77,327.56,106.17,0.3015,-19.36,1
32,Sat,1,False,79,82.86,82.75,95.34,0.7103,91,82.66,82.63,110.09,0.3727,-14.75,1
33,Mer+Sat,2,False,148,165.15,165.1,89.61,0.1276,185,164.88,164.78,112.2,0.1148,-22.59,1
34,Ven+Sat,2,False,148,165.13,164.94,89.62,0.16,184,164.96,164.84,111.54,0.1364,-21.91,1
35,Mer+Ven+Sat,3,False,217,246.96,246.83,87.87,0.0368,277,246.74,246.54,112.26,0.0508,-24.39,1
40,Mar+Sat,2,False,147,165.18,165.11,89.0,0.178,161,164.72,164.64,97.74,0.8634,-8.75,1
41,Mer+Mar+Sat,3,False,215,246.98,247.01,87.05,0.04,255,246.47,246.34,103.46,0.6175,-16.41,1
42,Ven+Mar+Sat,3,False,215,246.99,246.85,87.05,0.0468,254,246.57,246.39,103.01,0.6587,-15.96,1
43,Mer+Ven+Mar+Sat,4,False,283,328.33,328.28,86.19,0.0104,347,327.89,327.64,105.83,0.3103,-19.63,1
48,Jup+Sat,2,False,161,165.25,165.05,97.43,0.7566,180,164.75,164.73,109.26,0.2575,-11.83,1
49,Mer+Jup+Sat,3,False,230,247.07,246.93,93.09,0.224,274,246.5,246.42,111.15,0.0876,-18.06,1
50,Ven+Jup+Sat,3,False,230,247.06,246.78,93.1,0.2496,273,246.6,246.48,110.71,0.1092,-17.61,1
51,Mer+Ven+Jup+Sat,4,False,299,328.42,328.21,91.04,0.074,366,327.92,327.72,111.61,0.0388,-20.57,1
56,Mar+Jup+Sat,3,False,228,247.09,246.95,92.28,0.2272,250,246.34,246.27,101.49,0.8378,-9.21,1
57,Mer+Mar+Jup+Sat,4,False,296,328.42,328.38,90.13,0.06,344,327.64,327.51,104.99,0.3959,-14.87,1
58,Ven+Mar+Jup+Sat,4,False,296,328.44,328.23,90.12,0.0756,343,327.74,327.57,104.66,0.4263,-14.53,1
59,Mer+Ven+Mar+Jup+Sat,5,False,364,409.32,409.2,88.93,0.0176,436,408.61,408.36,106.7,0.2004,-17.77,1
64,Ura,1,False,92,82.75,82.7,111.18,0.3263,85,82.77,82.74,102.7,0.8386,8.49,1
65,Mer+Ura,2,False,161,165.1,165.08,97.52,0.7678,179,164.98,164.92,108.5,0.2951,-10.98,1
66,Ven+Ura,2,False,160,165.01,164.89,96.96,0.7407,177,165.07,164.95,107.23,0.3795,-10.26,1
67,Mer+Ven+Ura,3,False,229,246.9,246.81,92.75,0.242,270,246.84,246.68,109.38,0.148,-16.63,1
72,Mar+Ura,2,False,159,165.05,165.06,96.33,0.7111,158,164.83,164.74,95.85,0.6847,0.48,1
73,Mer+Mar+Ura,3,False,227,246.92,246.98,91.93,0.2176,252,246.58,246.47,102.2,0.7662,-10.26,1
74,Ven+Mar+Ura,3,False,226,246.86,246.79,91.55,0.2156,250,246.69,246.5,101.34,0.867,-9.79,1
75,Mer+Ven+Mar+Ura,4,False,294,328.26,328.26,89.56,0.0668,343,328.0,327.77,104.57,0.4443,-15.01,1
80,Jup+Ura,2,False,171,165.14,165.0,103.55,0.6467,174,164.82,164.84,105.57,0.5023,-2.02,1
81,Mer+Jup+Ura,3,False,240,247.03,246.91,97.16,0.6483,268,246.58,246.56,108.69,0.1888,-11.53,1
82,Ven+Jup+Ura,3,False,239,246.94,246.73,96.78,0.6235,266,246.68,246.59,107.83,0.2392,-11.05,1
83,Mer+Ven+Jup+Ura,4,False,308,328.36,328.19,93.8,0.2284,359,327.99,327.86,109.45,0.0904,-15.66,1
88,Mar+Jup+Ura,3,False,237,246.97,246.89,95.96,0.5519,247,246.43,246.38,100.23,0.9722,-4.27,1
89,Mer+Mar+Jup+Ura,4,False,305,328.37,328.36,92.88,0.1824,341,327.72,327.65,104.05,0.5071,-11.17,1
90,Ven+Mar+Jup+Ura,4,False,304,328.31,328.17,92.59,0.1972,339,327.83,327.68,103.41,0.5795,-10.81,1
91,Mer+Ven+Mar+Jup+Ura,5,False,372,409.26,409.18,90.9,0.0612,432,408.7,408.5,105.7,0.2799,-14.81,1
96,Sat+Ura,2,False,171,165.11,165.0,103.57,0.6487,176,164.94,164.92,106.7,0.4271,-3.13,1
97,Mer+Sat+Ura,3,False,240,246.97,246.91,97.18,0.6619,270,246.7,246.63,109.44,0.1488,-12.27,1
98,Ven+Sat+Ura,3,False,239,246.91,246.73,96.79,0.6299,268,246.78,246.67,108.6,0.178,-11.8,1
99,Mer+Ven+Sat+Ura,4,False,308,328.32,328.18,93.81,0.2356,361,328.1,327.93,110.03,0.0668,-16.22,1
104,Mar+Sat+Ura,3,False,238,246.96,246.9,96.37,0.5859,246,246.53,246.47,99.78,1.0,-3.41,1
105,Mer+Mar+Sat+Ura,4,False,306,328.34,328.36,93.19,0.218,340,327.84,327.73,103.71,0.5427,-10.52,1
106,Ven+Mar+Sat+Ura,4,False,305,328.31,328.18,92.9,0.2064,338,327.92,327.77,103.07,0.6119,-10.17,1
