Body,Window,Type,k_obs,k_exp,Ratio_Freq,Avg_Area,Ratio_Amp,p_val,Effect,Stage,p_adj_bh,sig_fdr
899_lon,3,Opposition,630,622.35,101.23,322.86,106.33999633789062,0.7680228521062678,Enhancement,Flare_All,0.9490915308465113,False
899_lon,4,Conjunction,817,863.22,94.65,308.97,101.7699966430664,0.1136513757306437,Suppression,Flare_All,0.32122071354514375,False
899_lon,4,Opposition,850,829.36,102.49,329.98,108.69000244140624,0.4778163012473072,Enhancement,Flare_All,0.7726180771721467,False
899_lon,5,Conjunction,1041,1079.09,96.47,312.77,103.0199966430664,0.245110881305108,Suppression,Flare_All,0.46238511804884286,False
899_lon,5,Opposition,1063,1036.63,102.54,303.88,100.08999633789062,0.4144963760045314,Enhancement,Flare_All,0.6800875413015526,False
899_lon,6,Conjunction,1272,1295.02,98.22,314.03,103.44000244140624,0.5261167084757998,Suppression,Flare_All,0.69441836578035,False
899_lon,6,Opposition,1278,1243.27,102.79,290.49,95.68000030517578,0.3237706474925239,Enhancement,Flare_All,0.5659872606095793,False
899_lon,7,Conjunction,1483,1511.23,98.13,308.34,101.55999755859376,0.468132382076078,Suppression,Flare_All,0.6368964704433944,False
899_lon,7,Opposition,1492,1449.5,102.93,293.93,96.81999969482422,0.2613219734917344,Enhancement,Flare_All,0.48506345735801343,False
899_lon,8,Conjunction,1689,1727.06,97.8,303.93,100.11000061035156,0.3555542221471446,Suppression,Flare_All,0.5162388810987886,False
899_lon,8,Opposition,1694,1656.85,102.24,299.82,98.75,0.357179142352598,Enhancement,Flare_All,0.5856880655200541,False
899_lon,9,Conjunction,1930,1943.26,99.32,303.13,99.8499984741211,0.7688813778252822,Suppression,Flare_All,0.8603099657328731,False
899_lon,9,Opposition,1887,1863.78,101.25,312.96,103.08000183105467,0.5879204154209742,Enhancement,Flare_All,0.7622175482669538,False
899_lon,10,Conjunction,2174,2159.34,100.68,306.08,100.81999969482422,0.7515637499788884,Enhancement,Flare_All,0.848219731849332,False
899_lon,10,Opposition,2053,2070.69,99.15,314.54,103.61000061035156,0.6999688718778871,Suppression,Flare_All,0.8410395214409689,False
Ceres_lon,1,Conjunction,198,217.09,91.21,405.45,133.5500030517578,0.2032504464003592,Suppression,Flare_All,0.6128903422342877,False
Ceres_lon,1,Opposition,246,216.39,113.68,204.27,67.27999877929688,0.050788394688344,Enhancement,Flare_All,0.4279536121746938,False
Ceres_lon,2,Conjunction,400,434.57,92.05,338.05,111.3499984741211,0.0974496595629712,Suppression,Flare_All,0.3859263882937311,False
Ceres_lon,2,Opposition,437,432.86,100.96,327.78,107.97000122070312,0.8544149762978231,Enhancement,Flare_All,0.9849934082520861,False
Ceres_lon,3,Conjunction,632,652.27,96.89,344.65,113.5199966430664,0.4364493431012367,Suppression,Flare_All,0.7243090264080982,False
Ceres_lon,3,Opposition,662,649.29,101.96,302.3,99.56999969482422,0.62549854492229,Enhancement,Flare_All,0.8898257988785218,False
Ceres_lon,4,Conjunction,869,869.71,99.92,349.91,115.25,0.9985935392719488,Suppression,Flare_All,1.0,False
Ceres_lon,4,Opposition,865,865.79,99.91,319.64,105.27999877929688,0.9963262893791748,Suppression,Flare_All,1.0,False
Ceres_lon,5,Conjunction,1110,1086.82,102.13,337.41,111.13999938964844,0.4837624091982466,Enhancement,Flare_All,0.6878196948814832,False
Ceres_lon,5,Opposition,1089,1082.46,100.6,297.85,98.11000061035156,0.8485802409845024,Enhancement,Flare_All,0.9390749873336135,False
Ceres_lon,6,Conjunction,1358,1304.08,104.13,326.19,107.44000244140624,0.1338363311578018,Enhancement,Flare_All,0.29361285009618876,False
Ceres_lon,6,Opposition,1297,1299.12,99.84,285.76,94.12000274658205,0.966927837537156,Suppression,Flare_All,0.9953692435060613,False
Ceres_lon,7,Conjunction,1579,1521.28,103.79,342.98,112.97000122070312,0.1357752596296242,Enhancement,Flare_All,0.28659588586685536,False
