Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
All,Small <100,3,Opposition,151201,17795,20146.37,88.33,0.8867113288671132,-0.84,Suppression
All,Small <100,3,Conjunction,151201,24573,20171.59,121.82,0.0653934606539346,1.58,Enhancement
All,Small <100,4,Opposition,151201,23621,26861.83,87.94,0.7715228477152285,-0.86,Suppression
All,Small <100,4,Conjunction,151201,32750,26895.46,121.77,0.0705929407059294,1.6,Enhancement
All,Small <100,5,Opposition,151201,29619,33577.28,88.21,0.8985101489851015,-0.85,Suppression
All,Small <100,5,Conjunction,151201,40957,33619.32,121.83,0.0547945205479452,1.57,Enhancement
All,Medium 100-500,1,Opposition,86883,3431,3861.3,88.86,0.8133186681331867,-0.84,Suppression
All,Medium 100-500,1,Conjunction,86883,4413,3862.73,114.25,0.47095290470952905,1.09,Enhancement
All,Medium 100-500,2,Opposition,86883,6880,7722.59,89.09,0.9099090090990901,-0.85,Suppression
All,Medium 100-500,2,Conjunction,86883,8912,7725.45,115.36,0.30156984301569845,1.18,Enhancement
All,Medium 100-500,3,Opposition,86883,10202,11583.89,88.07,0.7317268273172682,-0.9,Suppression
All,Medium 100-500,3,Conjunction,86883,13399,11588.18,115.63,0.24877512248775122,1.19,Enhancement
All,Medium 100-500,4,Opposition,86883,13586,15445.18,87.96,0.7185281471852815,-0.91,Suppression
All,Medium 100-500,4,Conjunction,86883,17879,15450.91,115.71,0.22517748225177484,1.22,Enhancement
All,Medium 100-500,5,Opposition,86883,16896,19306.48,87.51,0.5069493050694931,-0.96,Suppression
All,Medium 100-500,5,Conjunction,86883,22370,19313.63,115.82,0.203979602039796,1.21,Enhancement
All,Large 500-2000,1,Opposition,18110,700,804.47,87.01,0.48735126487351266,-0.9,Suppression
All,Large 500-2000,1,Conjunction,18110,961,804.98,119.38,0.20217978202179782,1.35,Enhancement
All,Large 500-2000,2,Opposition,18110,1467,1608.94,91.18,0.9745025497450255,-0.64,Suppression
All,Large 500-2000,2,Conjunction,18110,1993,1609.96,123.79,0.007799220077992201,1.7,Enhancement
All,Large 500-2000,3,Opposition,18110,2155,2413.41,89.29,0.8393160683931606,-0.78,Suppression
All,Large 500-2000,3,Conjunction,18110,2924,2414.93,121.08,0.043195680431956804,1.51,Enhancement
All,Large 500-2000,4,Opposition,18110,2861,3217.88,88.91,0.7983201679832017,-0.8,Suppression
