Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
All,Medium 100-500,4,Opposition,86883,12705,14299.42,88.85,0.6455354464553544,-0.92,Suppression
All,Medium 100-500,4,Conjunction,86883,16372,14304.33,114.45,0.2415758424157584,1.21,Enhancement
All,Medium 100-500,5,Opposition,86883,15573,17535.62,88.81,0.47835216478352166,-0.94,Suppression
All,Medium 100-500,5,Conjunction,86883,20025,17541.53,114.16,0.23757624237576241,1.19,Enhancement
All,Large 500-2000,1,Opposition,18110,686,789.06,86.94,0.42055794420557946,-0.94,Suppression
All,Large 500-2000,1,Conjunction,18110,941,789.55,119.18,0.18918108189181082,1.39,Enhancement
All,Large 500-2000,2,Opposition,18110,1402,1547.97,90.57,0.8999100089991001,-0.71,Suppression
All,Large 500-2000,2,Conjunction,18110,1902,1548.91,122.8,0.008399160083991601,1.7,Enhancement
All,Large 500-2000,3,Opposition,18110,2031,2277.72,89.17,0.6959304069593041,-0.84,Suppression
All,Large 500-2000,3,Conjunction,18110,2718,2279.08,119.26,0.0827917208279172,1.45,Enhancement
All,Large 500-2000,4,Opposition,18110,2652,2979.27,89.02,0.6215378462153784,-0.87,Suppression
All,Large 500-2000,4,Conjunction,18110,3569,2981.02,119.72,0.029397060293970604,1.55,Enhancement
All,Large 500-2000,5,Opposition,18110,3249,3653.56,88.93,0.5311468853114688,-0.89,Suppression
All,Large 500-2000,5,Conjunction,18110,4298,3655.66,117.57,0.10938906109389061,1.41,Enhancement
All,XLarge >2000,1,Opposition,630,19,27.47,69.16,0.197980201979802,-1.31,Suppression
All,XLarge >2000,1,Conjunction,630,34,27.47,123.78,0.36576342365763426,1.01,Enhancement
All,XLarge >2000,2,Opposition,630,45,53.9,83.49,0.44575542445755423,-0.87,Suppression
All,XLarge >2000,2,Conjunction,630,68,53.89,126.19,0.20617938206179381,1.44,Enhancement
All,XLarge >2000,3,Opposition,630,64,79.31,80.7,0.2803719628037196,-1.1,Suppression
All,XLarge >2000,3,Conjunction,630,105,79.29,132.42,0.07439256074392561,1.89,Enhancement
All,XLarge >2000,4,Opposition,630,82,103.73,79.05,0.137986201379862,-1.33,Suppression
All,XLarge >2000,4,Conjunction,630,127,103.71,122.45,0.22377762223777622,1.41,Enhancement
All,XLarge >2000,5,Opposition,630,92,127.21,72.32,0.0131986801319868,-1.82,Suppression
All,XLarge >2000,5,Conjunction,630,160,127.18,125.8,0.09599040095990401,1.74,Enhancement
All,Total,1,Opposition,256824,9864,11190.66,88.14,0.6701329867013298,-0.89,Suppression
All,Total,1,Conjunction,256824,13301,11200.61,118.75,0.12658734126587343,1.4,Enhancement
