Class,Window,Conj_Ratio,Opp_Ratio,Asym,Conj_Z
C-Class,42,100.93,100.53,0.4,0.8
C-Class,43,100.89,100.38,0.51,0.78
C-Class,44,100.86,100.2,0.66,0.76
C-Class,45,100.69,100.3,0.39,0.62
C-Class,46,100.76,100.32,0.44,0.68
C-Class,47,100.63,100.31,0.32,0.57
C-Class,48,100.59,100.27,0.32,0.53
C-Class,49,100.54,100.34,0.2,0.49
C-Class,50,100.57,100.3,0.27,0.53
M-Class,1,108.09,118.25,-10.16,1.07
M-Class,2,105.06,111.38,-6.32,0.89
M-Class,3,108.45,105.57,2.88,1.77
M-Class,4,105.83,105.02,0.81,1.37
M-Class,5,103.81,105.26,-1.45,0.96
M-Class,6,103.16,103.69,-0.53,0.84
M-Class,7,101.82,103.13,-1.31,0.51
M-Class,8,101.96,102.94,-0.98,0.57
M-Class,9,101.85,101.89,-0.04,0.56
M-Class,10,102.52,101.86,0.66,0.79
M-Class,11,102.55,101.61,0.94,0.82
M-Class,12,102.14,101.18,0.96,0.71
M-Class,13,101.54,100.57,0.97,0.52
M-Class,14,101.55,100.13,1.42,0.54
M-Class,15,101.72,100.6,1.12,0.61
M-Class,16,101.39,100.39,1.0,0.5
M-Class,17,100.97,100.51,0.46,0.36
M-Class,18,101.11,100.67,0.44,0.41
M-Class,19,101.24,100.1,1.14,0.47
M-Class,20,101.99,100.12,1.87,0.77
M-Class,21,102.79,99.74,3.05,1.11
M-Class,22,102.85,99.2,3.65,1.17
M-Class,23,103.15,99.53,3.62,1.29
M-Class,24,102.92,99.46,3.46,1.23
M-Class,25,103.3,99.54,3.76,1.4
M-Class,26,103.12,99.66,3.46,1.35
M-Class,27,102.92,99.14,3.78,1.26
M-Class,28,103.06,99.4,3.66,1.37
M-Class,29,103.47,99.68,3.79,1.56
M-Class,30,103.07,99.71,3.36,1.39
M-Class,31,103.12,99.13,3.99,1.45
M-Class,32,103.15,99.02,4.13,1.47
M-Class,33,102.99,99.03,3.96,1.41
M-Class,34,102.88,99.0,3.88,1.37
M-Class,35,102.92,99.33,3.59,1.43
M-Class,36,103.15,99.17,3.98,1.54
M-Class,37,103.13,98.79,4.34,1.54
M-Class,38,102.74,98.95,3.79,1.38
M-Class,39,102.56,98.79,3.77,1.3
M-Class,40,102.82,98.51,4.31,1.45
M-Class,41,102.68,98.6,4.08,1.41
M-Class,42,102.83,98.79,4.04,1.5
M-Class,43,102.81,98.82,3.99,1.51
M-Class,44,102.49,98.59,3.9,1.34
M-Class,45,102.66,98.66,4.0,1.44
M-Class,46,102.63,98.9,3.73,1.46
M-Class,47,102.38,99.11,3.27,1.32
M-Class,48,102.6,99.09,3.51,1.48
M-Class,49,102.36,99.09,3.27,1.34
M-Class,50,102.33,99.19,3.14,1.35
X-Class,1,102.04,102.05,-0.01,0.08
X-Class,2,108.03,74.83,33.2,0.46
X-Class,3,108.16,95.81,12.35,0.55
X-Class,4,102.16,101.77,0.39,0.17
X-Class,5,102.05,99.46,2.59,0.17
X-Class,6,104.08,102.53,1.55,0.37
X-Class,7,101.84,104.64,-2.8,0.18
X-Class,8,103.55,98.96,4.59,0.36
X-Class,9,99.39,95.34,4.05,-0.07
X-Class,10,98.44,95.14,3.3,-0.17
X-Class,11,99.93,98.58,1.35,-0.01
X-Class,12,100.14,97.79,2.35,0.02
X-Class,13,99.98,99.07,0.91,-0.0
X-Class,14,101.23,94.99,6.24,0.16
X-Class,15,99.57,95.8,3.77,-0.06
X-Class,16,97.78,94.67,3.11,-0.31
X-Class,17,98.42,95.9,2.52,-0.22
X-Class,18,96.72,95.84,0.88,-0.47
X-Class,19,96.66,94.99,1.67,-0.49
X-Class,20,96.01,93.09,2.92,-0.6
X-Class,21,96.28,92.75,3.53,-0.56
X-Class,22,96.78,92.96,3.82,-0.5
X-Class,23,95.97,92.34,3.63,-0.64
X-Class,24,96.13,94.4,1.73,-0.63
X-Class,25,95.51,93.49,2.02,-0.73
X-Class,26,95.45,94.98,0.47,-0.76
X-Class,27,96.5,95.25,1.25,-0.58
X-Class,28,96.65,94.37,2.28,-0.57
X-Class,29,98.61,96.09,2.52,-0.24
X-Class,30,98.62,95.89,2.73,-0.24
X-Class,31,98.5,95.86,2.64,-0.26
X-Class,32,97.52,95.28,2.24,-0.44
X-Class,33,97.06,95.15,1.91,-0.53
X-Class,34,97.76,95.31,2.45,-0.4
X-Class,35,98.64,97.06,1.58,-0.25
X-Class,36,99.92,97.73,2.19,-0.01
X-Class,37,99.09,98.08,1.01,-0.17
X-Class,38,99.84,98.55,1.29,-0.03
X-Class,39,99.52,98.51,1.01,-0.09
X-Class,40,99.94,98.13,1.81,-0.01
X-Class,41,100.73,97.86,2.87,0.15
X-Class,42,100.42,98.22,2.2,0.08
X-Class,43,99.15,97.14,2.01,-0.17
X-Class,44,98.91,96.6,2.31,-0.23
X-Class,45,98.94,96.26,2.68,-0.22
X-Class,46,99.07,96.45,2.62,-0.2
X-Class,47,100.32,98.63,1.69,0.07
X-Class,48,100.94,97.72,3.22,0.2
X-Class,49,100.26,97.62,2.64,0.06
X-Class,50,100.06,98.42,1.64,0.01
