Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect,Source_File,Domain,q_group_type,n_group_type,q_group_all,n_group_all,q_file,n_file
Flare_All,B-Class,27,Conjunction,7127,4734,4862.89,4852.02,97.35,0.4053118937621247,-0.69,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6183504236892006,60.0,0.5567011947432283,300.0
Flare_All,B-Class,28,Conjunction,7127,4829,4966.15,4954.67,97.24,0.3912721745565088,-0.72,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6183504236892006,60.0,0.5478588102656552,300.0
Flare_All,B-Class,29,Conjunction,7127,4945,5065.41,5053.35,97.62,0.4348713025739485,-0.62,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6183504236892006,60.0,0.5682147226620684,300.0
Flare_All,B-Class,30,Conjunction,7127,5035,5160.72,5148.18,97.56,0.4230715385692286,-0.64,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6183504236892006,60.0,0.5632984685439034,300.0
Flare_All,B-Class,1,Opposition,7127,244,272.15,272.31,89.66,0.1472770544589108,-1.43,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,2,Opposition,7127,503,535.51,535.72,93.93,0.2753944921101578,-1.1,Suppression,sf_algo2_at_least_one.csv,sf,0.3442431151376973,30.0,0.6183504236892006,60.0,0.4418093456312692,300.0
Flare_All,B-Class,3,Opposition,7127,745,790.31,790.42,94.27,0.2343553128937421,-1.19,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.40875926667513157,300.0
Flare_All,B-Class,4,Opposition,7127,973,1036.88,1036.69,93.84,0.1641167176656467,-1.4,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,5,Opposition,7127,1206,1275.47,1274.75,94.55,0.1959560808783824,-1.31,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,6,Opposition,7127,1446,1506.2,1504.86,96.0,0.3244735105297894,-1.0,Suppression,sf_algo2_at_least_one.csv,sf,0.3738782367209798,30.0,0.6183504236892006,60.0,0.4941220972534864,300.0
Flare_All,B-Class,7,Opposition,7127,1665,1729.14,1727.23,96.29,0.3489530209395812,-0.95,Suppression,sf_algo2_at_least_one.csv,sf,0.3738782367209798,30.0,0.6183504236892006,60.0,0.50818401107706,300.0
Flare_All,B-Class,8,Opposition,7127,1841,1944.67,1942.04,94.67,0.1653166936661266,-1.39,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,9,Opposition,7127,2079,2152.84,2149.53,96.57,0.3669526609467811,-0.9,Suppression,sf_algo2_at_least_one.csv,sf,0.3796062009794287,30.0,0.6183504236892006,60.0,0.5267263075791117,300.0
Flare_All,B-Class,10,Opposition,7127,2292,2354.08,2349.93,97.36,0.4889102217955641,-0.7,Suppression,sf_algo2_at_least_one.csv,sf,0.4889102217955641,30.0,0.6208875822483549,60.0,0.6104506009053372,300.0
Flare_All,B-Class,11,Opposition,7127,2456,2548.59,2543.41,96.37,0.3374332513349733,-0.97,Suppression,sf_algo2_at_least_one.csv,sf,0.3738782367209798,30.0,0.6183504236892006,60.0,0.5021574445358384,300.0
Flare_All,B-Class,12,Opposition,7127,2626,2736.09,2730.16,95.98,0.2928341433171336,-1.07,Suppression,sf_algo2_at_least_one.csv,sf,0.3514009719805603,30.0,0.6183504236892006,60.0,0.46236969997442146,300.0
Flare_All,B-Class,13,Opposition,7127,2785,2917.0,2910.4,95.47,0.24327513449731,-1.2,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.41467352471132385,300.0
Flare_All,B-Class,14,Opposition,7127,2942,3091.56,3084.3,95.16,0.2214755704885902,-1.27,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.4019560327356327,300.0
Flare_All,B-Class,15,Opposition,7127,3093,3260.13,3252.04,94.87,0.2078758424831503,-1.33,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.387967700768684,300.0
Flare_All,B-Class,16,Opposition,7127,3250,3422.78,3413.81,94.95,0.2230355392892142,-1.3,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.4019560327356327,300.0
Flare_All,B-Class,17,Opposition,7127,3381,3579.5,3569.79,94.45,0.1931561368772624,-1.42,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,18,Opposition,7127,3512,3730.58,3720.13,94.14,0.1803563928721425,-1.49,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,19,Opposition,7127,3647,3876.11,3865.02,94.09,0.1826763464730705,-1.5,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,20,Opposition,7127,3774,4016.32,4004.6,93.97,0.1799964000719985,-1.53,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,21,Opposition,7127,3899,4151.43,4139.03,93.92,0.1820763584728305,-1.54,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,22,Opposition,7127,4014,4281.66,4268.49,93.75,0.1752364952700946,-1.58,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,23,Opposition,7127,4123,4407.24,4393.12,93.55,0.1667566648667026,-1.62,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,24,Opposition,7127,4254,4528.06,4513.09,93.95,0.1958360832783344,-1.52,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,25,Opposition,7127,4362,4644.11,4628.55,93.93,0.1954360912781744,-1.52,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,26,Opposition,7127,4463,4755.81,4739.63,93.84,0.1922361552768944,-1.54,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,27,Opposition,7127,4558,4863.32,4846.48,93.72,0.1831563368732625,-1.57,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,B-Class,28,Opposition,7127,4668,4967.09,4949.23,93.98,0.2034359312813743,-1.51,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38627075559754614,300.0
Flare_All,B-Class,29,Opposition,7127,4770,5066.72,5048.02,94.14,0.2165556688866222,-1.47,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.39613841869504063,300.0
Flare_All,B-Class,30,Opposition,7127,4840,5162.26,5142.97,93.76,0.1902761944761104,-1.58,Suppression,sf_algo2_at_least_one.csv,sf,0.31731539282257826,30.0,0.6183504236892006,60.0,0.38176159553732003,300.0
Flare_All,C-Class,1,Conjunction,26654,1080,1019.84,1020.08,105.9,0.1085978280434391,1.61,Enhancement,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,2,Conjunction,26654,2163,2006.52,2006.61,107.8,0.0071998560028799,2.66,Enhancement,sf_algo2_at_least_one.csv,sf,0.215995680086397,30.0,0.3133755506708047,60.0,0.3119937601247967,300.0
Flare_All,C-Class,3,Conjunction,26654,3090,2960.77,2960.59,104.36,0.1006379872402551,1.64,Enhancement,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,4,Conjunction,26654,3994,3883.45,3882.87,102.85,0.2670346593068138,1.13,Enhancement,sf_algo2_at_least_one.csv,sf,0.3641381717820188,30.0,0.3653381477824988,60.0,0.4376344905534321,300.0
Flare_All,C-Class,5,Conjunction,26654,4918,4775.81,4774.35,102.98,0.2304753904921901,1.21,Enhancement,sf_algo2_at_least_one.csv,sf,0.3457130857382852,30.0,0.3400322237457689,60.0,0.40764096998761773,300.0
Flare_All,C-Class,6,Conjunction,26654,5773,5639.11,5635.96,102.37,0.3311933761324773,0.98,Enhancement,sf_algo2_at_least_one.csv,sf,0.41735165296694066,30.0,0.4304594759168646,60.0,0.49928649668212655,300.0
Flare_All,C-Class,7,Conjunction,26654,6620,6473.31,6468.48,102.27,0.3477930441391172,0.95,Enhancement,sf_algo2_at_least_one.csv,sf,0.41735165296694066,30.0,0.4347413051738965,60.0,0.50818401107706,300.0
Flare_All,C-Class,8,Conjunction,26654,7379,7279.44,7272.72,101.37,0.5754284914301714,0.57,Enhancement,sf_algo2_at_least_one.csv,sf,0.6393649904779681,30.0,0.6514284808643449,60.0,0.6823262744231282,300.0
Flare_All,C-Class,9,Conjunction,26654,8096,8057.49,8049.43,100.48,0.8659426811463771,0.2,Enhancement,sf_algo2_at_least_one.csv,sf,0.8958027735997004,30.0,0.8806196757420783,60.0,0.9020236261941429,300.0
Flare_All,C-Class,10,Conjunction,26654,8835,8809.37,8799.41,100.29,0.9410211795764084,0.12,Enhancement,sf_algo2_at_least_one.csv,sf,0.9410211795764084,30.0,0.9410211795764084,60.0,0.9569706910946525,300.0
Flare_All,C-Class,11,Conjunction,26654,9476,9535.57,9523.46,99.38,0.7505449891002179,-0.25,Suppression,sf_algo2_at_least_one.csv,sf,0.8041553454645192,30.0,0.7900473569475978,60.0,0.8070376226884064,300.0
