Category,N_Raw,N_Eff,Artifact,Ah (Mean),Ae (Mean),RMSE_Diff,Spearman_R,p(t-test),Wilcoxon_P,KS_Test_P,Levene_P,Boot_Mean_H,Boot_CI_H_Low,Boot_CI_H_High,Boot_Mean_E,Boot_CI_E_Low,Boot_CI_E_High,q_ttest,n_ttest,q_wilcoxon,n_wilcoxon,q_ks,n_ks,q_levene,n_levene
All SG,1697,762.7253473714082,YES,0.01860740946993841,0.0150350627019535,0.1865633158333805,0.9439847817610051,5.490901897251892e-07,5.159716249463495e-05,0.2748354104195651,0.09169825079011794,0.4622502141974648,0.4329610615262956,0.4924021023023486,0.4447782340778841,0.4174691997521483,0.4730298197631929,3.2945411383511353e-06,6,0.0003095829749678097,6,0.9960784702865387,6,0.5501895047407076,6
Onset SG,1580,959.4649340344139,YES,-0.001420317632044827,-0.007441710945600654,0.2218866006584002,0.895322527011968,0.04527563477225453,0.860920551909599,0.921467937012929,0.4538214900966593,0.3860411919840626,0.3602506499362642,0.4125296329348977,0.393309655620376,0.3666263135400478,0.4214306971902548,0.06791345215838179,6,0.860920551909599,6,0.9960784702865387,6,0.7879495756337691,6
Dur SG,1610,1143.045371150387,YES,0.004163040863343115,-0.005345591879800316,0.2348796308669718,0.9169662029166455,0.0006079574025155607,0.001040243037578542,0.8655323363228438,0.2461139584942259,0.4948421219010775,0.4693085334146334,0.5208064825412922,0.4823821266279227,0.4573765068157894,0.5079980401510172,0.0018238722075466821,6,0.003120729112735626,6,0.9960784702865387,6,0.7383418754826777,6
Diss SG,1441,1049.337086707861,YES,-0.004816075553613889,-0.01157651130049361,0.2039930789719198,0.9019447113064235,0.2972107478962314,0.7899123771555132,0.9960784702865387,0.7212743180482435,0.3636752083800459,0.3407445021099494,0.3866581014189941,0.3670495307609324,0.3439173033742957,0.3902761510898795,0.35665289747547774,6,0.860920551909599,6,0.9960784702865387,6,0.8255190452307545,6
Daily SG,723,666.79160338905,YES,0.05646641608849264,0.04559501660359264,0.1825056615769113,0.9326650749936332,0.8836807810172613,0.2305306594384401,0.9786337905039315,0.8255190452307544,0.4121505047273696,0.3816242290431346,0.4423473843315506,0.4125001145734303,0.3817483442917788,0.4435207254076373,0.8836807810172612,6,0.34579598915766013,6,0.9960784702865387,6,0.8255190452307545,6
All Flare,405,235.4554753497208,YES,-0.07522862345946955,-0.07431380158349808,0.1902637750448724,0.9533126240679969,0.02702931576101911,0.008788192022157117,0.9692074548688171,0.5252997170891794,0.5632305578055185,0.5183716535036101,0.6092458903385018,0.5512704543260093,0.5095431722549334,0.5944398761223482,0.05405863152203822,6,0.017576384044314233,6,0.9960784702865387,6,0.7879495756337691,6
