Dataset,Dataset_Label,Subset_Role,Subset_Label,SC,Window,Conj_Ratio,Conj_p,Opp_Ratio,Opp_p,Asym_Amp,Fisher_Stat,Fisher_p,Conj_q_dataset_window,Conj_n_dataset_window,Opp_q_dataset_window,Opp_n_dataset_window,Conj_q_subset_cycles,Conj_n_subset_cycles,Opp_q_subset_cycles,Opp_n_subset_cycles,Fisher_q_dataset_window,Fisher_n_dataset_window
sf,Flare,best_multi,Ven+Mar,SC23,2,118.62,0.096,95.32,0.6463,23.3,17.57,0.024693,0.256,16.0,0.9818,16.0,0.192,4.0,0.9401333333333333,4.0,0.078148,4.0
sf,Flare,best_multi,Ven+Mar,SC24,2,140.75,0.024,80.8,0.234,59.95,17.57,0.024693,0.16426666666666667,16.0,0.9818,16.0,0.096,4.0,0.936,4.0,0.078148,4.0
sg,Sunspot,jup_sat,Jup+Sat,SC21,2,94.14,0.1452,103.76,0.3775,-9.62,9.551,0.297964,0.65152,16.0,0.6904,16.0,0.2904,4.0,0.5033333333333333,4.0,0.5078013333333333,4.0
sg,Sunspot,jup_sat,Jup+Sat,SC22,2,106.23,0.1264,95.18,0.2611,11.05,9.551,0.297964,0.65152,16.0,0.6904,16.0,0.2904,4.0,0.5033333333333333,4.0,0.5078013333333333,4.0
sg,Sunspot,jup_sat,Jup+Sat,SC23,2,96.35,0.4871,110.94,0.0368,-14.59,9.551,0.297964,0.823709090909091,16.0,0.1792,16.0,0.6494666666666666,4.0,0.1472,4.0,0.5078013333333333,4.0
sg,Sunspot,jup_sat,Jup+Sat,SC24,2,99.55,0.9434,96.62,0.5799,2.93,9.551,0.297964,0.9434,16.0,0.7732,16.0,0.9434,4.0,0.5799,4.0,0.5078013333333333,4.0
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC21,2,96.64,0.192,106.05,0.0172,-9.42,8.995,0.342739,0.65152,16.0,0.1664,16.0,0.384,4.0,0.0416,4.0,0.5078013333333333,4.0
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC22,2,95.77,0.0864,93.7,0.0208,2.07,8.995,0.342739,0.65152,16.0,0.1664,16.0,0.3456,4.0,0.0416,4.0,0.5078013333333333,4.0
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC23,2,100.7,0.8018,102.39,0.4315,-1.69,8.995,0.342739,0.8932266666666667,16.0,0.6904,16.0,0.8374,4.0,0.5127,4.0,0.5078013333333333,4.0
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC24,2,100.75,0.8374,97.74,0.5127,3.01,8.995,0.342739,0.8932266666666667,16.0,0.7457454545454546,16.0,0.8374,4.0,0.5127,4.0,0.5078013333333333,4.0
sg,Sunspot,best_single,Ven,SC21,2,105.84,0.3091,111.58,0.0448,-5.75,8.559,0.380851,0.7522285714285715,16.0,0.1792,16.0,0.4388,4.0,0.1792,4.0,0.5078013333333333,4.0
sg,Sunspot,best_single,Ven,SC22,2,97.25,0.6687,95.4,0.3991,1.85,8.559,0.380851,0.8916,16.0,0.6904,16.0,0.6687,4.0,0.5321333333333333,4.0,0.5078013333333333,4.0
sg,Sunspot,best_single,Ven,SC23,2,94.83,0.3291,101.13,0.8222,-6.3,8.559,0.380851,0.7522285714285715,16.0,0.9290666666666667,16.0,0.4388,4.0,0.8222,4.0,0.5078013333333333,4.0
sg,Sunspot,best_single,Ven,SC24,2,88.25,0.2036,108.38,0.3603,-20.13,8.559,0.380851,0.65152,16.0,0.6904,16.0,0.4388,4.0,0.5321333333333333,4.0,0.5078013333333333,4.0
sg,Sunspot,best_multi,Ven+Mar,SC21,2,97.94,0.7383,109.29,0.0604,-11.34,4.361,0.823212,0.8932266666666667,16.0,0.19328,16.0,0.7383,4.0,0.2416,4.0,0.823212,4.0
sg,Sunspot,best_multi,Ven+Mar,SC22,2,103.66,0.5171,98.7,0.871,4.96,4.361,0.823212,0.823709090909091,16.0,0.9290666666666667,16.0,0.7383,4.0,0.931,4.0,0.823212,4.0
sg,Sunspot,best_multi,Ven+Mar,SC23,2,96.66,0.5663,102.34,0.6635,-5.68,4.361,0.823212,0.823709090909091,16.0,0.8166153846153846,16.0,0.7383,4.0,0.931,4.0,0.823212,4.0
sg,Sunspot,best_multi,Ven+Mar,SC24,2,95.17,0.5227,99.07,0.931,-3.9,4.361,0.823212,0.823709090909091,16.0,0.931,16.0,0.7383,4.0,0.931,4.0,0.823212,4.0
