Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p,Source_File,Domain,Conj_q_file,Conj_n_file,Opp_q_file,Opp_n_file
33,66,5.0,9225,9158.1,100.73,0.3,0.7359,8884,9140.2,97.2,-1.17,0.257,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
34,68,5.15,9514,9435.7,100.83,0.34,0.7187,9131,9416.7,96.97,-1.28,0.2052,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
35,70,5.3,9800,9713.3,100.89,0.37,0.6897,9390,9694.1,96.86,-1.32,0.2008,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
36,72,5.45,10094,9989.5,101.05,0.44,0.6577,9672,9970.6,97.01,-1.28,0.218,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
37,74,5.61,10363,10261.2,100.99,0.42,0.6581,9954,10244.4,97.17,-1.23,0.2368,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
38,76,5.76,10664,10541.7,101.16,0.49,0.6275,10228,10525.6,97.17,-1.24,0.2254,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
39,78,5.91,10925,10819.9,100.97,0.41,0.6769,10509,10803.9,97.27,-1.2,0.2492,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
40,80,6.06,11183,11099.0,100.76,0.33,0.7173,10779,11081.9,97.27,-1.23,0.2408,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
41,82,6.21,11457,11372.4,100.74,0.33,0.7227,11051,11360.5,97.28,-1.23,0.2428,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
42,84,6.36,11733,11653.5,100.68,0.3,0.7495,11344,11633.3,97.51,-1.12,0.279,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
43,86,6.52,11990,11926.4,100.53,0.24,0.7717,11621,11912.0,97.56,-1.11,0.2914,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
44,88,6.67,12297,12209.5,100.72,0.32,0.7331,11865,12188.1,97.35,-1.22,0.2462,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
45,90,6.82,12566,12485.4,100.65,0.3,0.7383,12126,12468.8,97.25,-1.27,0.222,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
46,92,6.97,12842,12761.8,100.63,0.29,0.7579,12404,12745.1,97.32,-1.26,0.2334,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
47,94,7.12,13117,13034.1,100.64,0.29,0.7495,12660,13014.6,97.28,-1.32,0.206,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
48,96,7.27,13365,13313.1,100.39,0.18,0.8247,12926,13290.3,97.26,-1.33,0.206,sf_b_class_decay_boundary.csv,sf,0.8773404255319149,50.0,0.5665384615384614,50.0
49,98,7.42,13623,13591.8,100.23,0.11,0.8689,13193,13579.5,97.15,-1.41,0.1712,sf_b_class_decay_boundary.csv,sf,0.9051041666666667,50.0,0.5665384615384614,50.0
50,100,7.58,13926,13869.2,100.41,0.19,0.8179,13497,13847.2,97.47,-1.25,0.2334,sf_b_class_decay_boundary.csv,sf,0.8773404255319149,50.0,0.5665384615384614,50.0
1,2,0.15,1112,1037.3,107.2,1.95,0.0514,1070,1036.9,103.19,0.89,0.3814,sf_c_class_decay_boundary.csv,sf,0.12666666666666665,50.0,0.9438541666666667,50.0
2,4,0.3,2273,2073.7,109.61,3.33,0.001,2077,2073.9,100.15,0.05,0.9627,sf_c_class_decay_boundary.csv,sf,0.02333333333333333,50.0,0.9823469387755102,50.0
3,6,0.45,3326,3109.7,106.95,2.69,0.0052,3111,3112.2,99.96,-0.01,0.9855,sf_c_class_decay_boundary.csv,sf,0.0325,50.0,0.9855000000000002,50.0
4,8,0.61,4373,4147.9,105.43,2.24,0.0228,4168,4147.0,100.51,0.22,0.8455,sf_c_class_decay_boundary.csv,sf,0.07058823529411765,50.0,0.9438541666666667,50.0
5,10,0.76,5499,5183.5,106.09,2.66,0.0066,5268,5185.9,101.58,0.72,0.4854,sf_c_class_decay_boundary.csv,sf,0.03666666666666667,50.0,0.9438541666666667,50.0
6,12,0.91,6597,6219.4,106.07,2.74,0.0042,6328,6223.6,101.68,0.81,0.4216,sf_c_class_decay_boundary.csv,sf,0.03,50.0,0.9438541666666667,50.0
7,14,1.06,7716,7260.6,106.27,2.96,0.0028,7381,7257.9,101.7,0.84,0.3986,sf_c_class_decay_boundary.csv,sf,0.02333333333333333,50.0,0.9438541666666667,50.0
8,16,1.21,8789,8299.9,105.89,2.92,0.0016,8430,8292.0,101.66,0.84,0.406,sf_c_class_decay_boundary.csv,sf,0.02333333333333333,50.0,0.9438541666666667,50.0
9,18,1.36,9851,9332.7,105.55,2.84,0.0024,9442,9332.5,101.17,0.61,0.5479,sf_c_class_decay_boundary.csv,sf,0.02333333333333333,50.0,0.9438541666666667,50.0
10,20,1.52,10965,10370.5,105.73,3.06,0.0016,10530,10370.3,101.54,0.82,0.4234,sf_c_class_decay_boundary.csv,sf,0.02333333333333333,50.0,0.9438541666666667,50.0
11,22,1.67,12021,11404.1,105.41,2.94,0.0024,11493,11404.7,100.77,0.42,0.6847,sf_c_class_decay_boundary.csv,sf,0.02333333333333333,50.0,0.9438541666666667,50.0
12,24,1.82,13016,12443.4,104.6,2.56,0.0086,12555,12442.5,100.9,0.5,0.6345,sf_c_class_decay_boundary.csv,sf,0.04272727272727273,50.0,0.9438541666666667,50.0
13,26,1.97,14075,13479.5,104.42,2.53,0.011,13609,13482.2,100.94,0.52,0.6099,sf_c_class_decay_boundary.csv,sf,0.04583333333333333,50.0,0.9438541666666667,50.0
14,28,2.12,15155,14522.9,104.35,2.55,0.0094,14628,14515.7,100.77,0.43,0.6839,sf_c_class_decay_boundary.csv,sf,0.04272727272727273,50.0,0.9438541666666667,50.0
15,30,2.27,16151,15554.4,103.84,2.28,0.0222,15659,15557.0,100.66,0.37,0.7257,sf_c_class_decay_boundary.csv,sf,0.07058823529411765,50.0,0.9438541666666667,50.0
16,32,2.42,17247,16591.1,103.95,2.43,0.0134,16686,16592.0,100.57,0.32,0.7689,sf_c_class_decay_boundary.csv,sf,0.05153846153846154,50.0,0.9438541666666667,50.0
17,34,2.58,18272,17632.6,103.63,2.27,0.0232,17716,17627.8,100.5,0.29,0.7883,sf_c_class_decay_boundary.csv,sf,0.07058823529411765,50.0,0.9438541666666667,50.0
18,36,2.73,19317,18666.1,103.49,2.21,0.024,18718,18663.3,100.29,0.17,0.8895,sf_c_class_decay_boundary.csv,sf,0.07058823529411765,50.0,0.9438541666666667,50.0
19,38,2.88,20316,19703.8,103.11,1.98,0.0424,19752,19698.1,100.27,0.16,0.9061,sf_c_class_decay_boundary.csv,sf,0.11777777777777779,50.0,0.9438541666666667,50.0
