model,total_variance,spectral_peak_frequency,top_periods,mean_period,period_std
M8+2,2732.311119229799,4015.0,"[4015.         2676.66666667 8030.         2007.5        1606.
 1338.33333333 1147.14285714  803.          892.22222222  730.        ]",2324.586507936508,2131.1682173228864
M8+3,2878.6531602333043,4015.0,"[4015.         2676.66666667 8030.         2007.5        1606.
 1338.33333333 1147.14285714  803.          730.          892.22222222]",2324.586507936508,2131.1682173228864
M0+3,2751.6915237528992,4015.0,"[4015.         2676.66666667 8030.         2007.5        1606.
 1338.33333333 1147.14285714  803.          730.           27.5       ]",2238.114285714286,2203.8362968030488
M0+2,2848.7306217625273,4015.0,"[4015.         2676.66666667 8030.         2007.5        1606.
 1147.14285714  892.22222222 1003.75       1338.33333333  803.        ]",2351.9615079365076,2112.1834377824966
