Model,cv_r2_score,oot_r2_score,best_params,star_count,dimension_mode,RMSE,MAE,MSE,Mean_Residual,Std_Residual,Max_Residual,R2_vs_actual,Data_Points
M0+2,0.6884988203372442,0.6116609628629581,OrderedDict({'model__alpha': 0.3328592945584206}),25,3D_V,53.42311797885373,39.918841549532125,2854.029534582525,2.311510893386396,53.37308733783613,344.7127618871769,0.5218761092015176,64495
M0+3,0.7281103118983582,0.5875777694634732,OrderedDict({'model__alpha': 0.13387765124023737}),21,3D,52.474634012991366,38.79332270545716,2753.58721479739,-1.3922486257713962,52.45616130219053,361.25602184123886,0.5387028000800053,64495
M8+2,0.6880125639700837,0.4587030320120107,OrderedDict({'model__alpha': 0.1}),12,6D,52.35251520679107,38.933643030589494,2740.78584847729,2.9184060622661274,52.27110821986666,357.3859499114117,0.5408473606034121,64495
M8+3,0.7290842461501905,0.46431691959538046,OrderedDict({'model__alpha': 0.001}),15,3D_V,53.667403725815085,40.65564971081915,2880.190222669631,-1.257655031350027,53.65266560471875,376.30130712158746,0.5174935161615328,64495
