Period_M8+2,Period_M8+3,Period_M0+3,Period_M0+2
4015.0,4015.0,4015.0,4015.0
2676.666666666667,2676.666666666667,2676.666666666667,2676.666666666667
8030.0,8030.0,8030.0,8030.0
2007.5,2007.5,2007.5,2007.5
1606.0,1606.0,1606.0,1606.0
1338.3333333333335,1338.3333333333335,1338.3333333333335,1147.1428571428573
1147.1428571428573,1147.1428571428573,1147.1428571428573,892.2222222222223
803.0,803.0,803.0,1003.75
892.2222222222223,730.0,730.0,1338.3333333333335
730.0,892.2222222222223,27.5,803.0
1003.75,27.5,892.2222222222223,730.0
27.5,1003.75,1003.75,27.5
27.037037037037038,27.037037037037038,27.037037037037038,27.037037037037038
349.13043478260875,349.13043478260875,669.1666666666667,669.1666666666667
382.3809523809524,382.3809523809524,365.0,349.13043478260875
27.312925170068027,27.312925170068027,349.13043478260875,382.3809523809524
365.0,401.5,382.3809523809524,27.312925170068027
401.5,365.0,27.312925170068027,365.0
321.2,321.2,401.5,401.5
334.58333333333337,334.58333333333337,321.2,321.2
472.35294117647067,669.1666666666667,334.58333333333337,334.58333333333337
446.11111111111114,472.35294117647067,472.35294117647067,472.35294117647067
27.979094076655056,446.11111111111114,446.11111111111114,446.11111111111114
27.881944444444446,27.979094076655056,27.979094076655056,27.979094076655056
669.1666666666667,27.881944444444446,27.881944444444446,27.881944444444446
28.17543859649123,28.17543859649123,28.17543859649123,28.17543859649123
27.406143344709896,27.406143344709896,27.406143344709896,27.406143344709896
28.076923076923077,28.076923076923077,28.076923076923077,28.076923076923077
26.76666666666667,26.76666666666667,26.76666666666667,26.76666666666667
28.274647887323944,28.274647887323944,28.274647887323944,28.274647887323944
236.17647058823533,236.17647058823533,236.17647058823533,236.17647058823533
26.946308724832218,26.946308724832218,26.946308724832218,26.946308724832218
501.875,501.875,501.875,501.875
27.12837837837838,27.12837837837838,27.12837837837838,27.12837837837838
26.8561872909699,26.8561872909699,26.8561872909699,26.8561872909699
26.24183006535948,26.24183006535948,26.24183006535948,26.24183006535948
27.785467128027687,27.785467128027687,27.785467128027687,27.785467128027687
25.819935691318328,25.819935691318328,25.819935691318328,25.819935691318328
27.220338983050848,27.220338983050848,27.220338983050848,27.220338983050848
26.156351791530945,26.156351791530945,26.156351791530945,26.156351791530945
250.9375,250.9375,250.9375,250.9375
26.327868852459016,26.327868852459016,26.327868852459016,26.327868852459016
26.677740863787374,26.677740863787374,26.677740863787374,26.677740863787374
259.03225806451616,259.03225806451616,259.03225806451616,259.03225806451616
276.8965517241379,276.8965517241379,276.8965517241379,276.8965517241379
26.589403973509935,26.589403973509935,26.589403973509935,26.589403973509935
157.45098039215688,157.45098039215688,157.45098039215688,157.45098039215688
25.015576323987542,25.015576323987542,25.015576323987542,25.015576323987542
243.33333333333337,243.33333333333337,243.33333333333337,243.33333333333337
267.6666666666667,267.6666666666667,267.6666666666667,267.6666666666667
154.42307692307693,154.42307692307693,154.42307692307693,154.42307692307693
422.63157894736844,422.63157894736844,422.63157894736844,422.63157894736844
535.3333333333334,535.3333333333334,535.3333333333334,535.3333333333334
27.594501718213063,27.594501718213063,27.594501718213063,27.594501718213063
25.903225806451616,25.903225806451616,617.6923076923077,617.6923076923077
573.5714285714287,573.5714285714287,25.903225806451616,573.5714285714287
308.84615384615387,308.84615384615387,573.5714285714287,25.903225806451616
617.6923076923077,617.6923076923077,308.84615384615387,308.84615384615387
26.071428571428577,26.071428571428577,26.071428571428577,26.071428571428577
24.937888198757765,24.937888198757765,24.937888198757765,24.937888198757765
286.78571428571433,286.78571428571433,286.78571428571433,286.78571428571433
26.501650165016503,26.501650165016503,26.501650165016503,26.501650165016503
28.47517730496454,28.47517730496454,28.47517730496454,28.47517730496454
151.50943396226415,151.50943396226415,151.50943396226415,151.50943396226415
32.12,32.12,32.12,32.12
31.003861003861,31.003861003861,31.003861003861,31.003861003861
25.09375,25.09375,25.09375,25.09375
27.689655172413794,27.689655172413794,27.689655172413794,27.689655172413794
28.884892086330936,28.884892086330936,28.884892086330936,28.884892086330936
160.6,160.6,160.6,160.6
29.306569343065696,29.306569343065696,29.306569343065696,29.306569343065696
25.411392405063292,25.411392405063292,25.411392405063292,25.411392405063292
26.414473684210527,26.414473684210527,26.414473684210527,26.414473684210527
25.573248407643312,25.573248407643312,25.573248407643312,25.573248407643312
148.7037037037037,148.7037037037037,148.7037037037037,148.7037037037037
170.85106382978725,170.85106382978725,170.85106382978725,170.85106382978725
23.970149253731343,23.970149253731343,23.970149253731343,23.970149253731343
28.37455830388693,28.37455830388693,28.37455830388693,28.37455830388693
24.860681114551085,24.860681114551085,24.860681114551085,24.860681114551085
25.492063492063494,25.492063492063494,25.492063492063494,25.492063492063494
167.29166666666669,229.42857142857142,229.42857142857142,229.42857142857142
229.42857142857142,167.29166666666669,167.29166666666669,167.29166666666669
113.09859154929578,113.09859154929578,113.09859154929578,113.09859154929578
31.992031872509965,31.992031872509965,31.992031872509965,31.992031872509965
96.74698795180724,96.74698795180724,96.74698795180724,96.74698795180724
29.413919413919416,29.413919413919416,29.413919413919416,29.413919413919416
28.678571428571427,28.678571428571427,28.678571428571427,28.678571428571427
32.24899598393574,32.24899598393574,32.24899598393574,32.24899598393574
114.71428571428571,114.71428571428571,114.71428571428571,114.71428571428571
143.39285714285717,143.39285714285717,143.39285714285717,143.39285714285717
25.331230283911673,25.331230283911673,25.331230283911673,25.331230283911673
23.827893175074184,23.827893175074184,23.827893175074184,23.827893175074184
211.31578947368422,211.31578947368422,211.31578947368422,211.31578947368422
28.576512455516017,28.576512455516017,28.576512455516017,28.576512455516017
146.0,146.0,146.0,146.0
163.87755102040816,163.87755102040816,163.87755102040816,163.87755102040816
133.83333333333334,133.83333333333334,133.83333333333334,133.83333333333334
174.56521739130437,174.56521739130437,174.56521739130437,174.56521739130437
28.989169675090256,28.989169675090256,28.989169675090256,28.989169675090256
191.1904761904762,191.1904761904762,191.1904761904762,191.1904761904762
