Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Medium,9,Conjunction,5,0,0.0,86883
SG_Medium,9,Opposition,5,0,0.0,86883
SG_Medium,9,Conjunction,6,0,0.0,86883
SG_Medium,9,Opposition,6,0,0.0,86883
SG_Medium,9,Conjunction,7,0,0.0,86883
SG_Medium,9,Opposition,7,0,0.0,86883
SG_Medium,10,Conjunction,0,58254,67.0488,86883
SG_Medium,10,Opposition,0,58394,67.2099,86883
SG_Medium,10,Conjunction,1,23896,27.5037,86883
SG_Medium,10,Opposition,1,23758,27.3448,86883
SG_Medium,10,Conjunction,2,4169,4.7984,86883
SG_Medium,10,Opposition,2,4268,4.9124,86883
SG_Medium,10,Conjunction,3,527,0.6066,86883
SG_Medium,10,Opposition,3,438,0.5041,86883
SG_Medium,10,Conjunction,4,35,0.0403,86883
SG_Medium,10,Opposition,4,23,0.0265,86883
SG_Medium,10,Conjunction,5,2,0.0023,86883
SG_Medium,10,Opposition,5,2,0.0023,86883
SG_Medium,10,Conjunction,6,0,0.0,86883
SG_Medium,10,Opposition,6,0,0.0,86883
SG_Medium,10,Conjunction,7,0,0.0,86883
SG_Medium,10,Opposition,7,0,0.0,86883
SG_Medium,11,Conjunction,0,55897,64.3359,86883
SG_Medium,11,Opposition,0,56114,64.5857,86883
SG_Medium,11,Conjunction,1,25390,29.2232,86883
SG_Medium,11,Opposition,1,25109,28.8998,86883
SG_Medium,11,Conjunction,2,4871,5.6064,86883
SG_Medium,11,Opposition,2,5046,5.8078,86883
SG_Medium,11,Conjunction,3,673,0.7746,86883
SG_Medium,11,Opposition,3,578,0.6653,86883
SG_Medium,11,Conjunction,4,49,0.0564,86883
SG_Medium,11,Opposition,4,34,0.0391,86883
SG_Medium,11,Conjunction,5,3,0.0035,86883
SG_Medium,11,Opposition,5,2,0.0023,86883
SG_Medium,11,Conjunction,6,0,0.0,86883
SG_Medium,11,Opposition,6,0,0.0,86883
SG_Medium,11,Conjunction,7,0,0.0,86883
SG_Medium,11,Opposition,7,0,0.0,86883
SG_Medium,12,Conjunction,0,53650,61.7497,86883
SG_Medium,12,Opposition,0,53708,61.8165,86883
SG_Medium,12,Conjunction,1,26747,30.7851,86883
SG_Medium,12,Opposition,1,26528,30.533,86883
SG_Medium,12,Conjunction,2,5551,6.3891,86883
SG_Medium,12,Opposition,2,5870,6.7562,86883
SG_Medium,12,Conjunction,3,863,0.9933,86883
SG_Medium,12,Opposition,3,716,0.8241,86883
SG_Medium,12,Conjunction,4,67,0.0771,86883
SG_Medium,12,Opposition,4,59,0.0679,86883
SG_Medium,12,Conjunction,5,5,0.0058,86883
SG_Medium,12,Opposition,5,2,0.0023,86883
SG_Medium,12,Conjunction,6,0,0.0,86883
SG_Medium,12,Opposition,6,0,0.0,86883
SG_Medium,12,Conjunction,7,0,0.0,86883
SG_Medium,12,Opposition,7,0,0.0,86883
SG_Medium,13,Conjunction,0,51565,59.3499,86883
SG_Medium,13,Opposition,0,51478,59.2498,86883
SG_Medium,13,Conjunction,1,27798,31.9948,86883
SG_Medium,13,Opposition,1,27759,31.9499,86883
SG_Medium,13,Conjunction,2,6364,7.3248,86883
SG_Medium,13,Opposition,2,6648,7.6517,86883
SG_Medium,13,Conjunction,3,1059,1.2189,86883
SG_Medium,13,Opposition,3,913,1.0508,86883
SG_Medium,13,Conjunction,4,89,0.1024,86883
SG_Medium,13,Opposition,4,83,0.0955,86883
SG_Medium,13,Conjunction,5,8,0.0092,86883
SG_Medium,13,Opposition,5,2,0.0023,86883
SG_Medium,13,Conjunction,6,0,0.0,86883
SG_Medium,13,Opposition,6,0,0.0,86883
SG_Medium,13,Conjunction,7,0,0.0,86883
SG_Medium,13,Opposition,7,0,0.0,86883
SG_Medium,14,Conjunction,0,49370,56.8235,86883
SG_Medium,14,Opposition,0,49403,56.8615,86883
SG_Medium,14,Conjunction,1,28992,33.369,86883
SG_Medium,14,Opposition,1,28756,33.0974,86883
SG_Medium,14,Conjunction,2,7128,8.2041,86883
SG_Medium,14,Opposition,2,7496,8.6277,86883
SG_Medium,14,Conjunction,3,1270,1.4617,86883
SG_Medium,14,Opposition,3,1107,1.2741,86883
SG_Medium,14,Conjunction,4,110,0.1266,86883
SG_Medium,14,Opposition,4,115,0.1324,86883
SG_Medium,14,Conjunction,5,13,0.015,86883
SG_Medium,14,Opposition,5,6,0.0069,86883
SG_Medium,14,Conjunction,6,0,0.0,86883
SG_Medium,14,Opposition,6,0,0.0,86883
SG_Medium,14,Conjunction,7,0,0.0,86883
SG_Medium,14,Opposition,7,0,0.0,86883
SG_Medium,15,Conjunction,0,47423,54.5826,86883
SG_Medium,15,Opposition,0,47319,54.4629,86883
SG_Medium,15,Conjunction,1,29848,34.3542,86883
SG_Medium,15,Opposition,1,29790,34.2875,86883
SG_Medium,15,Conjunction,2,7913,9.1077,86883
SG_Medium,15,Opposition,2,8315,9.5703,86883
SG_Medium,15,Conjunction,3,1538,1.7702,86883
SG_Medium,15,Opposition,3,1311,1.5089,86883
SG_Medium,15,Conjunction,4,145,0.1669,86883
SG_Medium,15,Opposition,4,140,0.1611,86883
SG_Medium,15,Conjunction,5,16,0.0184,86883
SG_Medium,15,Opposition,5,8,0.0092,86883
SG_Medium,15,Conjunction,6,0,0.0,86883
SG_Medium,15,Opposition,6,0,0.0,86883
SG_Medium,15,Conjunction,7,0,0.0,86883
SG_Medium,15,Opposition,7,0,0.0,86883
SG_Medium,16,Conjunction,0,45540,52.4153,86883
SG_Medium,16,Opposition,0,45415,52.2714,86883
SG_Medium,16,Conjunction,1,30623,35.2463,86883
SG_Medium,16,Opposition,1,30567,35.1818,86883
SG_Medium,16,Conjunction,2,8727,10.0445,86883
SG_Medium,16,Opposition,2,9178,10.5636,86883
SG_Medium,16,Conjunction,3,1791,2.0614,86883
SG_Medium,16,Opposition,3,1528,1.7587,86883
SG_Medium,16,Conjunction,4,182,0.2095,86883
SG_Medium,16,Opposition,4,185,0.2129,86883
SG_Medium,16,Conjunction,5,20,0.023,86883
SG_Medium,16,Opposition,5,10,0.0115,86883
SG_Medium,16,Conjunction,6,0,0.0,86883
SG_Medium,16,Opposition,6,0,0.0,86883
SG_Medium,16,Conjunction,7,0,0.0,86883
SG_Medium,16,Opposition,7,0,0.0,86883
SG_Medium,17,Conjunction,0,43679,50.2734,86883
SG_Medium,17,Opposition,0,43547,50.1214,86883
SG_Medium,17,Conjunction,1,31317,36.045,86883
SG_Medium,17,Opposition,1,31267,35.9875,86883
SG_Medium,17,Conjunction,2,9607,11.0574,86883
SG_Medium,17,Opposition,2,10035,11.55,86883
SG_Medium,17,Conjunction,3,2017,2.3215,86883
SG_Medium,17,Opposition,3,1794,2.0648,86883
SG_Medium,17,Conjunction,4,242,0.2785,86883
SG_Medium,17,Opposition,4,227,0.2613,86883
SG_Medium,17,Conjunction,5,21,0.0242,86883
SG_Medium,17,Opposition,5,13,0.015,86883
SG_Medium,17,Conjunction,6,0,0.0,86883
SG_Medium,17,Opposition,6,0,0.0,86883
SG_Medium,17,Conjunction,7,0,0.0,86883
SG_Medium,17,Opposition,7,0,0.0,86883
SG_Medium,18,Conjunction,0,41901,48.2269,86883
SG_Medium,18,Opposition,0,41737,48.0382,86883
SG_Medium,18,Conjunction,1,31934,36.7552,86883
SG_Medium,18,Opposition,1,31899,36.7149,86883
SG_Medium,18,Conjunction,2,10424,11.9977,86883
SG_Medium,18,Opposition,2,10886,12.5295,86883
SG_Medium,18,Conjunction,3,2306,2.6541,86883
SG_Medium,18,Opposition,3,2053,2.3629,86883
SG_Medium,18,Conjunction,4,291,0.3349,86883
SG_Medium,18,Opposition,4,290,0.3338,86883
SG_Medium,18,Conjunction,5,27,0.0311,86883
SG_Medium,18,Opposition,5,18,0.0207,86883
SG_Medium,18,Conjunction,6,0,0.0,86883
SG_Medium,18,Opposition,6,0,0.0,86883
SG_Medium,18,Conjunction,7,0,0.0,86883
SG_Medium,18,Opposition,7,0,0.0,86883
SG_Medium,19,Conjunction,0,40241,46.3163,86883
SG_Medium,19,Opposition,0,40046,46.0919,86883
SG_Medium,19,Conjunction,1,32366,37.2524,86883
SG_Medium,19,Opposition,1,32379,37.2674,86883
SG_Medium,19,Conjunction,2,11259,12.9588,86883
SG_Medium,19,Opposition,2,11765,13.5412,86883
SG_Medium,19,Conjunction,3,2636,3.034,86883
SG_Medium,19,Opposition,3,2327,2.6783,86883
SG_Medium,19,Conjunction,4,347,0.3994,86883
SG_Medium,19,Opposition,4,345,0.3971,86883
SG_Medium,19,Conjunction,5,34,0.0391,86883
SG_Medium,19,Opposition,5,21,0.0242,86883
SG_Medium,19,Conjunction,6,0,0.0,86883
SG_Medium,19,Opposition,6,0,0.0,86883
SG_Medium,19,Conjunction,7,0,0.0,86883
SG_Medium,19,Opposition,7,0,0.0,86883
SG_Medium,20,Conjunction,0,38553,44.3735,86883
SG_Medium,20,Opposition,0,38396,44.1928,86883
SG_Medium,20,Conjunction,1,32842,37.8003,86883
SG_Medium,20,Opposition,1,32794,37.745,86883
SG_Medium,20,Conjunction,2,12063,13.8842,86883
SG_Medium,20,Opposition,2,12598,14.5,86883
SG_Medium,20,Conjunction,3,2974,3.423,86883
SG_Medium,20,Opposition,3,2667,3.0696,86883
SG_Medium,20,Conjunction,4,409,0.4707,86883
SG_Medium,20,Opposition,4,400,0.4604,86883
SG_Medium,20,Conjunction,5,42,0.0483,86883
SG_Medium,20,Opposition,5,28,0.0322,86883
SG_Medium,20,Conjunction,6,0,0.0,86883
SG_Medium,20,Opposition,6,0,0.0,86883
SG_Medium,20,Conjunction,7,0,0.0,86883
SG_Medium,20,Opposition,7,0,0.0,86883
SG_Medium,21,Conjunction,0,36970,42.5515,86883
SG_Medium,21,Opposition,0,36767,42.3178,86883
SG_Medium,21,Conjunction,1,33103,38.1007,86883
SG_Medium,21,Opposition,1,33199,38.2112,86883
SG_Medium,21,Conjunction,2,12913,14.8625,86883
SG_Medium,21,Opposition,2,13407,15.4311,86883
SG_Medium,21,Conjunction,3,3374,3.8834,86883
SG_Medium,21,Opposition,3,3017,3.4725,86883
SG_Medium,21,Conjunction,4,473,0.5444,86883
SG_Medium,21,Opposition,4,458,0.5271,86883
SG_Medium,21,Conjunction,5,49,0.0564,86883
SG_Medium,21,Opposition,5,35,0.0403,86883
SG_Medium,21,Conjunction,6,1,0.0012,86883
SG_Medium,21,Opposition,6,0,0.0,86883
SG_Medium,21,Conjunction,7,0,0.0,86883
SG_Medium,21,Opposition,7,0,0.0,86883
SG_Medium,22,Conjunction,0,35467,40.8216,86883
SG_Medium,22,Opposition,0,35315,40.6466,86883
SG_Medium,22,Conjunction,1,33313,38.3424,86883
SG_Medium,22,Opposition,1,33351,38.3861,86883
SG_Medium,22,Conjunction,2,13744,15.819,86883
SG_Medium,22,Opposition,2,14250,16.4014,86883
SG_Medium,22,Conjunction,3,3742,4.3069,86883
SG_Medium,22,Opposition,3,3404,3.9179,86883
SG_Medium,22,Conjunction,4,553,0.6365,86883
SG_Medium,22,Opposition,4,519,0.5974,86883
SG_Medium,22,Conjunction,5,62,0.0714,86883
SG_Medium,22,Opposition,5,44,0.0506,86883
SG_Medium,22,Conjunction,6,2,0.0023,86883
SG_Medium,22,Opposition,6,0,0.0,86883
SG_Medium,22,Conjunction,7,0,0.0,86883
SG_Medium,22,Opposition,7,0,0.0,86883
SG_Medium,23,Conjunction,0,34000,39.1331,86883
SG_Medium,23,Opposition,0,33865,38.9777,86883
SG_Medium,23,Conjunction,1,33436,38.4839,86883
SG_Medium,23,Opposition,1,33484,38.5392,86883
SG_Medium,23,Conjunction,2,14621,16.8284,86883
SG_Medium,23,Opposition,2,15038,17.3083,86883
SG_Medium,23,Conjunction,3,4122,4.7443,86883
SG_Medium,23,Opposition,3,3841,4.4209,86883
SG_Medium,23,Conjunction,4,629,0.724,86883
SG_Medium,23,Opposition,4,604,0.6952,86883
SG_Medium,23,Conjunction,5,72,0.0829,86883
SG_Medium,23,Opposition,5,51,0.0587,86883
SG_Medium,23,Conjunction,6,3,0.0035,86883
SG_Medium,23,Opposition,6,0,0.0,86883
SG_Medium,23,Conjunction,7,0,0.0,86883
SG_Medium,23,Opposition,7,0,0.0,86883
SG_Medium,24,Conjunction,0,32554,37.4688,86883
SG_Medium,24,Opposition,0,32529,37.44,86883
SG_Medium,24,Conjunction,1,33554,38.6198,86883
SG_Medium,24,Opposition,1,33437,38.4851,86883
SG_Medium,24,Conjunction,2,15424,17.7526,86883
SG_Medium,24,Opposition,2,15894,18.2936,86883
SG_Medium,24,Conjunction,3,4523,5.2059,86883
SG_Medium,24,Opposition,3,4289,4.9365,86883
SG_Medium,24,Conjunction,4,741,0.8529,86883
SG_Medium,24,Opposition,4,673,0.7746,86883
SG_Medium,24,Conjunction,5,81,0.0932,86883
SG_Medium,24,Opposition,5,61,0.0702,86883
SG_Medium,24,Conjunction,6,6,0.0069,86883
SG_Medium,24,Opposition,6,0,0.0,86883
SG_Medium,24,Conjunction,7,0,0.0,86883
SG_Medium,24,Opposition,7,0,0.0,86883
SG_Medium,25,Conjunction,0,31154,35.8574,86883
SG_Medium,25,Opposition,0,31134,35.8344,86883
SG_Medium,25,Conjunction,1,33676,38.7602,86883
SG_Medium,25,Opposition,1,33503,38.5611,86883
SG_Medium,25,Conjunction,2,16128,18.5629,86883
SG_Medium,25,Opposition,2,16686,19.2051,86883
SG_Medium,25,Conjunction,3,4980,5.7318,86883
SG_Medium,25,Opposition,3,4715,5.4268,86883
SG_Medium,25,Conjunction,4,842,0.9691,86883
SG_Medium,25,Opposition,4,764,0.8793,86883
SG_Medium,25,Conjunction,5,94,0.1082,86883
SG_Medium,25,Opposition,5,80,0.0921,86883
SG_Medium,25,Conjunction,6,9,0.0104,86883
SG_Medium,25,Opposition,6,1,0.0012,86883
SG_Medium,25,Conjunction,7,0,0.0,86883
SG_Medium,25,Opposition,7,0,0.0,86883
SG_Medium,26,Conjunction,0,29840,34.345,86883
SG_Medium,26,Opposition,0,29814,34.3151,86883
SG_Medium,26,Conjunction,1,33672,38.7556,86883
SG_Medium,26,Opposition,1,33393,38.4344,86883
SG_Medium,26,Conjunction,2,16869,19.4158,86883
SG_Medium,26,Opposition,2,17488,20.1282,86883
SG_Medium,26,Conjunction,3,5406,6.2222,86883
SG_Medium,26,Opposition,3,5214,6.0012,86883
SG_Medium,26,Conjunction,4,966,1.1118,86883
SG_Medium,26,Opposition,4,879,1.0117,86883
SG_Medium,26,Conjunction,5,117,0.1347,86883
SG_Medium,26,Opposition,5,94,0.1082,86883
SG_Medium,26,Conjunction,6,13,0.015,86883
SG_Medium,26,Opposition,6,1,0.0012,86883
SG_Medium,26,Conjunction,7,0,0.0,86883
SG_Medium,26,Opposition,7,0,0.0,86883
SG_Medium,27,Conjunction,0,28577,32.8914,86883
SG_Medium,27,Opposition,0,28560,32.8718,86883
SG_Medium,27,Conjunction,1,33572,38.6405,86883
SG_Medium,27,Opposition,1,33314,38.3435,86883
SG_Medium,27,Conjunction,2,17605,20.2629,86883
SG_Medium,27,Opposition,2,18188,20.9339,86883
SG_Medium,27,Conjunction,3,5872,6.7585,86883
SG_Medium,27,Opposition,3,5705,6.5663,86883
SG_Medium,27,Conjunction,4,1106,1.273,86883
SG_Medium,27,Opposition,4,1007,1.159,86883
SG_Medium,27,Conjunction,5,133,0.1531,86883
SG_Medium,27,Opposition,5,108,0.1243,86883
SG_Medium,27,Conjunction,6,18,0.0207,86883
SG_Medium,27,Opposition,6,1,0.0012,86883
SG_Medium,27,Conjunction,7,0,0.0,86883
SG_Medium,27,Opposition,7,0,0.0,86883
SG_Medium,28,Conjunction,0,27362,31.4929,86883
SG_Medium,28,Opposition,0,27360,31.4906,86883
SG_Medium,28,Conjunction,1,33522,38.5829,86883
SG_Medium,28,Opposition,1,33123,38.1237,86883
SG_Medium,28,Conjunction,2,18218,20.9684,86883
SG_Medium,28,Opposition,2,18937,21.796,86883
SG_Medium,28,Conjunction,3,6358,7.3179,86883
SG_Medium,28,Opposition,3,6206,7.1429,86883
SG_Medium,28,Conjunction,4,1252,1.441,86883
SG_Medium,28,Opposition,4,1132,1.3029,86883
SG_Medium,28,Conjunction,5,149,0.1715,86883
SG_Medium,28,Opposition,5,122,0.1404,86883
SG_Medium,28,Conjunction,6,22,0.0253,86883
SG_Medium,28,Opposition,6,3,0.0035,86883
SG_Medium,28,Conjunction,7,0,0.0,86883
SG_Medium,28,Opposition,7,0,0.0,86883
SG_Medium,29,Conjunction,0,26196,30.1509,86883
SG_Medium,29,Opposition,0,26093,30.0323,86883
SG_Medium,29,Conjunction,1,33440,38.4885,86883
SG_Medium,29,Opposition,1,33050,38.0397,86883
SG_Medium,29,Conjunction,2,18760,21.5923,86883
SG_Medium,29,Opposition,2,19608,22.5683,86883
SG_Medium,29,Conjunction,3,6853,7.8876,86883
SG_Medium,29,Opposition,3,6705,7.7173,86883
SG_Medium,29,Conjunction,4,1435,1.6516,86883
SG_Medium,29,Opposition,4,1291,1.4859,86883
SG_Medium,29,Conjunction,5,175,0.2014,86883
SG_Medium,29,Opposition,5,132,0.1519,86883
SG_Medium,29,Conjunction,6,24,0.0276,86883
SG_Medium,29,Opposition,6,4,0.0046,86883
SG_Medium,29,Conjunction,7,0,0.0,86883
SG_Medium,29,Opposition,7,0,0.0,86883
SG_Medium,30,Conjunction,0,25045,28.8261,86883
SG_Medium,30,Opposition,0,25007,28.7824,86883
SG_Medium,30,Conjunction,1,33290,38.3159,86883
SG_Medium,30,Opposition,1,32773,37.7208,86883
SG_Medium,30,Conjunction,2,19347,22.2679,86883
SG_Medium,30,Opposition,2,20253,23.3107,86883
SG_Medium,30,Conjunction,3,7325,8.4309,86883
SG_Medium,30,Opposition,3,7213,8.302,86883
SG_Medium,30,Conjunction,4,1648,1.8968,86883
SG_Medium,30,Opposition,4,1481,1.7046,86883
SG_Medium,30,Conjunction,5,200,0.2302,86883
SG_Medium,30,Opposition,5,152,0.1749,86883
SG_Medium,30,Conjunction,6,28,0.0322,86883
SG_Medium,30,Opposition,6,4,0.0046,86883
SG_Medium,30,Conjunction,7,0,0.0,86883
SG_Medium,30,Opposition,7,0,0.0,86883
SG_Large,1,Conjunction,0,17402,96.0906,18110
SG_Large,1,Opposition,0,17424,96.212,18110
SG_Large,1,Conjunction,1,696,3.8432,18110
SG_Large,1,Opposition,1,672,3.7107,18110
SG_Large,1,Conjunction,2,12,0.0663,18110
SG_Large,1,Opposition,2,14,0.0773,18110
SG_Large,1,Conjunction,3,0,0.0,18110
SG_Large,1,Opposition,3,0,0.0,18110
SG_Large,1,Conjunction,4,0,0.0,18110
SG_Large,1,Opposition,4,0,0.0,18110
SG_Large,1,Conjunction,5,0,0.0,18110
SG_Large,1,Opposition,5,0,0.0,18110
SG_Large,1,Conjunction,6,0,0.0,18110
SG_Large,1,Opposition,6,0,0.0,18110
SG_Large,1,Conjunction,7,0,0.0,18110
SG_Large,1,Opposition,7,0,0.0,18110
SG_Large,2,Conjunction,0,16689,92.1535,18110
SG_Large,2,Opposition,0,16708,92.2584,18110
SG_Large,2,Conjunction,1,1374,7.587,18110
SG_Large,2,Opposition,1,1338,7.3882,18110
SG_Large,2,Conjunction,2,45,0.2485,18110
SG_Large,2,Opposition,2,63,0.3479,18110
SG_Large,2,Conjunction,3,2,0.011,18110
SG_Large,2,Opposition,3,1,0.0055,18110
SG_Large,2,Conjunction,4,0,0.0,18110
SG_Large,2,Opposition,4,0,0.0,18110
SG_Large,2,Conjunction,5,0,0.0,18110
SG_Large,2,Opposition,5,0,0.0,18110
SG_Large,2,Conjunction,6,0,0.0,18110
SG_Large,2,Opposition,6,0,0.0,18110
SG_Large,2,Conjunction,7,0,0.0,18110
SG_Large,2,Opposition,7,0,0.0,18110
SG_Large,3,Conjunction,0,16077,88.7742,18110
SG_Large,3,Opposition,0,16079,88.7852,18110
SG_Large,3,Conjunction,1,1926,10.635,18110
SG_Large,3,Opposition,1,1911,10.5522,18110
SG_Large,3,Conjunction,2,102,0.5632,18110
SG_Large,3,Opposition,2,116,0.6405,18110
SG_Large,3,Conjunction,3,5,0.0276,18110
SG_Large,3,Opposition,3,4,0.0221,18110
SG_Large,3,Conjunction,4,0,0.0,18110
SG_Large,3,Opposition,4,0,0.0,18110
SG_Large,3,Conjunction,5,0,0.0,18110
SG_Large,3,Opposition,5,0,0.0,18110
SG_Large,3,Conjunction,6,0,0.0,18110
SG_Large,3,Opposition,6,0,0.0,18110
SG_Large,3,Conjunction,7,0,0.0,18110
SG_Large,3,Opposition,7,0,0.0,18110
SG_Large,4,Conjunction,0,15426,85.1795,18110
SG_Large,4,Opposition,0,15458,85.3562,18110
SG_Large,4,Conjunction,1,2490,13.7493,18110
SG_Large,4,Opposition,1,2454,13.5505,18110
SG_Large,4,Conjunction,2,181,0.9994,18110
SG_Large,4,Opposition,2,187,1.0326,18110
SG_Large,4,Conjunction,3,13,0.0718,18110
SG_Large,4,Opposition,3,11,0.0607,18110
SG_Large,4,Conjunction,4,0,0.0,18110
SG_Large,4,Opposition,4,0,0.0,18110
SG_Large,4,Conjunction,5,0,0.0,18110
SG_Large,4,Opposition,5,0,0.0,18110
SG_Large,4,Conjunction,6,0,0.0,18110
SG_Large,4,Opposition,6,0,0.0,18110
SG_Large,4,Conjunction,7,0,0.0,18110
SG_Large,4,Opposition,7,0,0.0,18110
SG_Large,5,Conjunction,0,14867,82.0928,18110
SG_Large,5,Opposition,0,14861,82.0596,18110
SG_Large,5,Conjunction,1,2967,16.3832,18110
SG_Large,5,Opposition,1,2961,16.3501,18110
SG_Large,5,Conjunction,2,257,1.4191,18110
SG_Large,5,Opposition,2,274,1.513,18110
SG_Large,5,Conjunction,3,19,0.1049,18110
SG_Large,5,Opposition,3,14,0.0773,18110
SG_Large,5,Conjunction,4,0,0.0,18110
SG_Large,5,Opposition,4,0,0.0,18110
SG_Large,5,Conjunction,5,0,0.0,18110
SG_Large,5,Opposition,5,0,0.0,18110
SG_Large,5,Conjunction,6,0,0.0,18110
SG_Large,5,Opposition,6,0,0.0,18110
SG_Large,5,Conjunction,7,0,0.0,18110
SG_Large,5,Opposition,7,0,0.0,18110
SG_Large,6,Conjunction,0,14298,78.9509,18110
SG_Large,6,Opposition,0,14290,78.9067,18110
SG_Large,6,Conjunction,1,3425,18.9122,18110
SG_Large,6,Opposition,1,3417,18.868,18110
SG_Large,6,Conjunction,2,360,1.9879,18110
SG_Large,6,Opposition,2,373,2.0596,18110
SG_Large,6,Conjunction,3,27,0.1491,18110
SG_Large,6,Opposition,3,29,0.1601,18110
SG_Large,6,Conjunction,4,0,0.0,18110
SG_Large,6,Opposition,4,1,0.0055,18110
SG_Large,6,Conjunction,5,0,0.0,18110
SG_Large,6,Opposition,5,0,0.0,18110
SG_Large,6,Conjunction,6,0,0.0,18110
SG_Large,6,Opposition,6,0,0.0,18110
SG_Large,6,Conjunction,7,0,0.0,18110
SG_Large,6,Opposition,7,0,0.0,18110
SG_Large,7,Conjunction,0,13717,75.7427,18110
SG_Large,7,Opposition,0,13731,75.82,18110
SG_Large,7,Conjunction,1,3871,21.3749,18110
SG_Large,7,Opposition,1,3848,21.2479,18110
SG_Large,7,Conjunction,2,478,2.6394,18110
SG_Large,7,Opposition,2,482,2.6615,18110
SG_Large,7,Conjunction,3,43,0.2374,18110
SG_Large,7,Opposition,3,46,0.254,18110
SG_Large,7,Conjunction,4,1,0.0055,18110
SG_Large,7,Opposition,4,3,0.0166,18110
SG_Large,7,Conjunction,5,0,0.0,18110
SG_Large,7,Opposition,5,0,0.0,18110
SG_Large,7,Conjunction,6,0,0.0,18110
SG_Large,7,Opposition,6,0,0.0,18110
SG_Large,7,Conjunction,7,0,0.0,18110
SG_Large,7,Opposition,7,0,0.0,18110
SG_Large,8,Conjunction,0,13207,72.9266,18110
SG_Large,8,Opposition,0,13207,72.9266,18110
SG_Large,8,Conjunction,1,4243,23.429,18110
SG_Large,8,Opposition,1,4238,23.4014,18110
SG_Large,8,Conjunction,2,592,3.2689,18110
SG_Large,8,Opposition,2,604,3.3352,18110
SG_Large,8,Conjunction,3,67,0.37,18110
SG_Large,8,Opposition,3,57,0.3147,18110
SG_Large,8,Conjunction,4,1,0.0055,18110
SG_Large,8,Opposition,4,3,0.0166,18110
SG_Large,8,Conjunction,5,0,0.0,18110
SG_Large,8,Opposition,5,1,0.0055,18110
SG_Large,8,Conjunction,6,0,0.0,18110
SG_Large,8,Opposition,6,0,0.0,18110
SG_Large,8,Conjunction,7,0,0.0,18110
SG_Large,8,Opposition,7,0,0.0,18110
SG_Large,9,Conjunction,0,12662,69.9172,18110
SG_Large,9,Opposition,0,12677,70.0,18110
SG_Large,9,Conjunction,1,4642,25.6322,18110
SG_Large,9,Opposition,1,4613,25.4721,18110
SG_Large,9,Conjunction,2,719,3.9702,18110
SG_Large,9,Opposition,2,733,4.0475,18110
SG_Large,9,Conjunction,3,84,0.4638,18110
SG_Large,9,Opposition,3,82,0.4528,18110
SG_Large,9,Conjunction,4,3,0.0166,18110
SG_Large,9,Opposition,4,4,0.0221,18110
SG_Large,9,Conjunction,5,0,0.0,18110
SG_Large,9,Opposition,5,1,0.0055,18110
SG_Large,9,Conjunction,6,0,0.0,18110
SG_Large,9,Opposition,6,0,0.0,18110
SG_Large,9,Conjunction,7,0,0.0,18110
SG_Large,9,Opposition,7,0,0.0,18110
SG_Large,10,Conjunction,0,12157,67.1287,18110
SG_Large,10,Opposition,0,12194,67.333,18110
SG_Large,10,Conjunction,1,4982,27.5097,18110
SG_Large,10,Opposition,1,4942,27.2888,18110
SG_Large,10,Conjunction,2,855,4.7211,18110
SG_Large,10,Opposition,2,869,4.7985,18110
SG_Large,10,Conjunction,3,108,0.5964,18110
SG_Large,10,Opposition,3,98,0.5411,18110
SG_Large,10,Conjunction,4,8,0.0442,18110
SG_Large,10,Opposition,4,6,0.0331,18110
SG_Large,10,Conjunction,5,0,0.0,18110
SG_Large,10,Opposition,5,1,0.0055,18110
SG_Large,10,Conjunction,6,0,0.0,18110
SG_Large,10,Opposition,6,0,0.0,18110
SG_Large,10,Conjunction,7,0,0.0,18110
SG_Large,10,Opposition,7,0,0.0,18110
SG_Large,11,Conjunction,0,11673,64.4561,18110
SG_Large,11,Opposition,0,11661,64.3898,18110
SG_Large,11,Conjunction,1,5287,29.1938,18110
SG_Large,11,Opposition,1,5262,29.0558,18110
SG_Large,11,Conjunction,2,1009,5.5715,18110
SG_Large,11,Opposition,2,1053,5.8145,18110
SG_Large,11,Conjunction,3,133,0.7344,18110
SG_Large,11,Opposition,3,121,0.6681,18110
SG_Large,11,Conjunction,4,8,0.0442,18110
SG_Large,11,Opposition,4,12,0.0663,18110
SG_Large,11,Conjunction,5,0,0.0,18110
SG_Large,11,Opposition,5,1,0.0055,18110
SG_Large,11,Conjunction,6,0,0.0,18110
SG_Large,11,Opposition,6,0,0.0,18110
SG_Large,11,Conjunction,7,0,0.0,18110
SG_Large,11,Opposition,7,0,0.0,18110
SG_Large,12,Conjunction,0,11234,62.032,18110
SG_Large,12,Opposition,0,11196,61.8222,18110
SG_Large,12,Conjunction,1,5550,30.6461,18110
SG_Large,12,Opposition,1,5554,30.6681,18110
SG_Large,12,Conjunction,2,1138,6.2838,18110
SG_Large,12,Opposition,2,1185,6.5433,18110
SG_Large,12,Conjunction,3,178,0.9829,18110
SG_Large,12,Opposition,3,159,0.878,18110
SG_Large,12,Conjunction,4,10,0.0552,18110
SG_Large,12,Opposition,4,15,0.0828,18110
SG_Large,12,Conjunction,5,0,0.0,18110
SG_Large,12,Opposition,5,1,0.0055,18110
SG_Large,12,Conjunction,6,0,0.0,18110
SG_Large,12,Opposition,6,0,0.0,18110
SG_Large,12,Conjunction,7,0,0.0,18110
