Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Total,7,Opposition,6,0,0.0,256824
SG_Total,7,Conjunction,7,0,0.0,256824
SG_Total,7,Opposition,7,0,0.0,256824
SG_Total,8,Conjunction,0,187343,72.9461,256824
SG_Total,8,Opposition,0,187131,72.8635,256824
SG_Total,8,Conjunction,1,60001,23.3627,256824
SG_Total,8,Opposition,1,60113,23.4063,256824
SG_Total,8,Conjunction,2,8547,3.328,256824
SG_Total,8,Opposition,2,8774,3.4163,256824
SG_Total,8,Conjunction,3,888,0.3458,256824
SG_Total,8,Opposition,3,766,0.2983,256824
SG_Total,8,Conjunction,4,45,0.0175,256824
SG_Total,8,Opposition,4,39,0.0152,256824
SG_Total,8,Conjunction,5,0,0.0,256824
SG_Total,8,Opposition,5,1,0.0004,256824
SG_Total,8,Conjunction,6,0,0.0,256824
SG_Total,8,Opposition,6,0,0.0,256824
SG_Total,8,Conjunction,7,0,0.0,256824
SG_Total,8,Opposition,7,0,0.0,256824
SG_Total,9,Conjunction,0,179874,70.0378,256824
SG_Total,9,Opposition,0,179779,70.0009,256824
SG_Total,9,Conjunction,1,65223,25.396,256824
SG_Total,9,Opposition,1,65168,25.3746,256824
SG_Total,9,Conjunction,2,10458,4.072,256824
SG_Total,9,Opposition,2,10768,4.1928,256824
SG_Total,9,Conjunction,3,1202,0.468,256824
SG_Total,9,Opposition,3,1044,0.4065,256824
SG_Total,9,Conjunction,4,67,0.0261,256824
SG_Total,9,Opposition,4,64,0.0249,256824
SG_Total,9,Conjunction,5,0,0.0,256824
SG_Total,9,Opposition,5,1,0.0004,256824
SG_Total,9,Conjunction,6,0,0.0,256824
SG_Total,9,Opposition,6,0,0.0,256824
SG_Total,9,Conjunction,7,0,0.0,256824
SG_Total,9,Opposition,7,0,0.0,256824
SG_Total,10,Conjunction,0,172803,67.2846,256824
SG_Total,10,Opposition,0,172520,67.1744,256824
SG_Total,10,Conjunction,1,69863,27.2027,256824
SG_Total,10,Opposition,1,70048,27.2747,256824
SG_Total,10,Conjunction,2,12451,4.8481,256824
SG_Total,10,Opposition,2,12768,4.9715,256824
SG_Total,10,Conjunction,3,1602,0.6238,256824
SG_Total,10,Opposition,3,1393,0.5424,256824
SG_Total,10,Conjunction,4,103,0.0401,256824
SG_Total,10,Opposition,4,92,0.0358,256824
SG_Total,10,Conjunction,5,2,0.0008,256824
SG_Total,10,Opposition,5,3,0.0012,256824
SG_Total,10,Conjunction,6,0,0.0,256824
SG_Total,10,Opposition,6,0,0.0,256824
SG_Total,10,Conjunction,7,0,0.0,256824
SG_Total,10,Opposition,7,0,0.0,256824
SG_Total,11,Conjunction,0,165981,64.6283,256824
SG_Total,11,Opposition,0,165676,64.5095,256824
SG_Total,11,Conjunction,1,74097,28.8513,256824
SG_Total,11,Opposition,1,74170,28.8797,256824
SG_Total,11,Conjunction,2,14532,5.6583,256824
SG_Total,11,Opposition,2,15047,5.8589,256824
SG_Total,11,Conjunction,3,2061,0.8025,256824
SG_Total,11,Opposition,3,1785,0.695,256824
SG_Total,11,Conjunction,4,149,0.058,256824
SG_Total,11,Opposition,4,142,0.0553,256824
SG_Total,11,Conjunction,5,4,0.0016,256824
SG_Total,11,Opposition,5,4,0.0016,256824
SG_Total,11,Conjunction,6,0,0.0,256824
SG_Total,11,Opposition,6,0,0.0,256824
SG_Total,11,Conjunction,7,0,0.0,256824
SG_Total,11,Opposition,7,0,0.0,256824
SG_Total,12,Conjunction,0,159420,62.0736,256824
SG_Total,12,Opposition,0,158852,61.8525,256824
SG_Total,12,Conjunction,1,77972,30.3601,256824
SG_Total,12,Opposition,1,78191,30.4454,256824
SG_Total,12,Conjunction,2,16610,6.4675,256824
SG_Total,12,Opposition,2,17320,6.7439,256824
SG_Total,12,Conjunction,3,2607,1.0151,256824
SG_Total,12,Opposition,3,2263,0.8811,256824
SG_Total,12,Conjunction,4,207,0.0806,256824
SG_Total,12,Opposition,4,193,0.0751,256824
SG_Total,12,Conjunction,5,8,0.0031,256824
SG_Total,12,Opposition,5,5,0.0019,256824
SG_Total,12,Conjunction,6,0,0.0,256824
SG_Total,12,Opposition,6,0,0.0,256824
SG_Total,12,Conjunction,7,0,0.0,256824
SG_Total,12,Opposition,7,0,0.0,256824
SG_Total,13,Conjunction,0,153074,59.6027,256824
SG_Total,13,Opposition,0,152525,59.3889,256824
SG_Total,13,Conjunction,1,81388,31.6902,256824
SG_Total,13,Opposition,1,81619,31.7801,256824
SG_Total,13,Conjunction,2,18858,7.3428,256824
SG_Total,13,Opposition,2,19604,7.6332,256824
SG_Total,13,Conjunction,3,3206,1.2483,256824
SG_Total,13,Opposition,3,2808,1.0934,256824
SG_Total,13,Conjunction,4,284,0.1106,256824
SG_Total,13,Opposition,4,261,0.1016,256824
SG_Total,13,Conjunction,5,14,0.0055,256824
SG_Total,13,Opposition,5,7,0.0027,256824
SG_Total,13,Conjunction,6,0,0.0,256824
SG_Total,13,Opposition,6,0,0.0,256824
SG_Total,13,Conjunction,7,0,0.0,256824
SG_Total,13,Opposition,7,0,0.0,256824
SG_Total,14,Conjunction,0,146765,57.1461,256824
SG_Total,14,Opposition,0,146363,56.9896,256824
SG_Total,14,Conjunction,1,84694,32.9774,256824
SG_Total,14,Opposition,1,84687,32.9747,256824
SG_Total,14,Conjunction,2,21114,8.2212,256824
SG_Total,14,Opposition,2,21982,8.5592,256824
SG_Total,14,Conjunction,3,3854,1.5006,256824
SG_Total,14,Opposition,3,3413,1.3289,256824
SG_Total,14,Conjunction,4,371,0.1445,256824
SG_Total,14,Opposition,4,364,0.1417,256824
SG_Total,14,Conjunction,5,26,0.0101,256824
SG_Total,14,Opposition,5,15,0.0058,256824
SG_Total,14,Conjunction,6,0,0.0,256824
SG_Total,14,Opposition,6,0,0.0,256824
SG_Total,14,Conjunction,7,0,0.0,256824
SG_Total,14,Opposition,7,0,0.0,256824
SG_Total,15,Conjunction,0,140971,54.8901,256824
SG_Total,15,Opposition,0,140350,54.6483,256824
SG_Total,15,Conjunction,1,87366,34.0178,256824
SG_Total,15,Opposition,1,87456,34.0529,256824
SG_Total,15,Conjunction,2,23352,9.0926,256824
SG_Total,15,Opposition,2,24496,9.538,256824
SG_Total,15,Conjunction,3,4601,1.7915,256824
SG_Total,15,Opposition,3,4053,1.5781,256824
SG_Total,15,Conjunction,4,499,0.1943,256824
SG_Total,15,Opposition,4,450,0.1752,256824
SG_Total,15,Conjunction,5,35,0.0136,256824
SG_Total,15,Opposition,5,19,0.0074,256824
SG_Total,15,Conjunction,6,0,0.0,256824
SG_Total,15,Opposition,6,0,0.0,256824
SG_Total,15,Conjunction,7,0,0.0,256824
SG_Total,15,Opposition,7,0,0.0,256824
SG_Total,16,Conjunction,0,135407,52.7237,256824
SG_Total,16,Opposition,0,134649,52.4285,256824
