Section,Subset_Label,N_Planets,Conj_Ratio,Best_Constituent_Single_Ratio,Delta_vs_Best_Single,Conj_p,Conj_Excess
multi_planet_detail,Ven+Mar+Jup+Nep,4,109.08,120.35,-11.27,0.0076,155.12
multi_planet_detail,Mer+Ven+Mar+Nep,4,109.22,120.35,-11.13,0.007,157.65
multi_planet_detail,Mer+Ven+Mar+Ura,4,109.66,120.35,-10.69,0.0044,164.89
multi_planet_detail,Jup+Sat+Ura+Nep,4,99.52,109.5,-9.98,0.8586,-8.28
multi_planet_detail,Mer+Sat+Ura+Nep,4,99.9,109.17,-9.27,0.9469,-1.78
multi_planet_detail,Mer+Ven+Jup+Sat,4,111.25,120.35,-9.1,0.0012,192.21
multi_planet_detail,Mar+Jup+Ura+Nep,4,102.69,111.67,-8.98,0.433,45.99
multi_planet_detail,Ven+Mar+Jup+Sat,4,111.53,120.35,-8.82,0.0007,196.75
multi_planet_detail,Mer+Mar+Ura+Nep,4,102.95,111.67,-8.72,0.3673,50.37
multi_planet_detail,Mer+Ven+Mar+Sat,4,112.15,120.35,-8.2,0.0003,207.47
multi_planet_detail,Mer+Ven+Mar+Jup,4,112.75,120.35,-7.6,0.0005,217.68
multi_planet_detail,Mer+Jup+Ura+Nep,4,101.99,109.5,-7.51,0.555,34.09
multi_planet_detail,Mar+Jup+Sat+Nep,4,104.66,111.67,-7.01,0.1391,79.54
multi_planet_detail,Mer+Mar+Sat+Nep,4,104.86,111.67,-6.81,0.1271,83.11
multi_planet_detail,Mar+Jup+Sat+Ura,4,104.91,111.67,-6.76,0.1182,83.61
multi_planet_detail,Mer+Mar+Sat+Ura,4,105.58,111.67,-6.09,0.0726,95.2
multi_planet_detail,Mer+Mar+Jup+Nep,4,106.59,111.67,-5.08,0.0432,112.64
multi_planet_detail,Mer+Jup+Sat+Nep,4,104.44,109.5,-5.06,0.1576,75.9
multi_planet_detail,Mer+Jup+Sat+Ura,4,104.44,109.5,-5.06,0.1578,75.82
multi_planet_detail,Mer+Mar+Jup+Ura,4,107.19,111.67,-4.48,0.0266,122.75
multi_planet_detail,Mer+Mar+Jup+Sat,4,109.05,111.67,-2.62,0.0045,154.51
multi_planet_detail,Ven+Jup+Sat+Ura+Nep,5,103.2,120.35,-17.15,0.2678,67.99
multi_planet_detail,Mer+Ven+Sat+Ura+Nep,5,103.7,120.35,-16.65,0.1936,78.54
multi_planet_detail,Ven+Mar+Sat+Ura+Nep,5,103.98,120.35,-16.37,0.1623,84.37
multi_planet_detail,Mer+Ven+Jup+Ura+Nep,5,105.1,120.35,-15.25,0.0818,108.31
multi_planet_detail,Ven+Mar+Jup+Ura+Nep,5,105.67,120.35,-14.68,0.0536,120.22
multi_planet_detail,Mer+Ven+Mar+Ura+Nep,5,106.06,120.35,-14.29,0.0377,128.62
multi_planet_detail,Mer+Ven+Jup+Sat+Ura,5,107.12,120.35,-13.23,0.0155,151.09
multi_planet_detail,Ven+Mar+Jup+Sat+Ura,5,107.5,120.35,-12.85,0.0118,158.85
multi_planet_detail,Mer+Ven+Jup+Sat+Nep,5,107.59,120.35,-12.76,0.0102,161.2
multi_planet_detail,Ven+Mar+Jup+Sat+Nep,5,107.76,120.35,-12.59,0.0074,164.84
multi_planet_detail,Mer+Ven+Mar+Sat+Nep,5,108.11,120.35,-12.24,0.0048,172.4
multi_planet_detail,Mer+Ven+Mar+Sat+Ura,5,108.23,120.35,-12.12,0.0043,174.45
