Section,Dataset,Dataset_Label,Window,N_Planets,N_Subsets,Conj_Ratio_Mean,Conj_Ratio_Median,Conj_Positive_Count,Conj_Positive_Pct,Asym_Mean,Asym_Median,Asym_Positive_Count,Asym_Positive_Pct,Step,Subset_Label,Conj_k_obs,Conj_k_exp,Conj_Excess,Conj_Ratio,Conj_p,Opp_Ratio,Opp_p,Asym_Amp,Subset_Role,N_Exceed_Best_Single,Median_Delta_vs_Best_Single,Min_Delta_vs_Best_Single,Max_Delta_vs_Best_Single
nested_path,,,,5,,,,,,,,,,5.0,Mer+Ven+Mar+Jup+Sat,2362.0,2122.22,239.78,111.3,0.0003,103.1,0.2961,8.2,,,,,
nested_path,,,,6,,,,,,,,,,6.0,Mer+Ven+Mar+Jup+Sat+Ura,2732.0,2530.78,201.22,107.95,0.0031,100.92,0.7324,7.03,,,,,
nested_path,,,,7,,,,,,,,,,7.0,Mer+Ven+Mar+Jup+Sat+Ura+Nep,3094.0,2939.04,154.96,105.27,0.0293,99.61,0.8736,5.66,,,,,
window_sensitivity,sf,Flare,1.0,1,,,,,,,,,,,Ven,,,50.23,123.17,0.0176,,,,best_single,,,,
window_sensitivity,sf,Flare,2.0,1,,,,,,,,,,,Ven,,,88.28,120.35,0.0214,,,,best_single,,,,
window_sensitivity,sf,Flare,3.0,1,,,,,,,,,,,Ven,,,131.37,120.19,0.0166,,,,best_single,,,,
window_sensitivity,sf,Flare,4.0,1,,,,,,,,,,,Ven,,,164.41,118.95,0.0124,,,,best_single,,,,
window_sensitivity,sf,Flare,5.0,1,,,,,,,,,,,Ven,,,187.52,117.29,0.0059,,,,best_single,,,,
window_sensitivity,sg,Sunspot,1.0,1,,,,,,,,,,,Ven,,,15.29,101.07,0.7087,,,,best_single,,,,
window_sensitivity,sg,Sunspot,2.0,1,,,,,,,,,,,Ven,,,17.5,100.61,0.7336,,,,best_single,,,,
window_sensitivity,sg,Sunspot,3.0,1,,,,,,,,,,,Ven,,,42.91,101.0,0.4984,,,,best_single,,,,
window_sensitivity,sg,Sunspot,4.0,1,,,,,,,,,,,Ven,,,36.85,100.65,0.6124,,,,best_single,,,,
window_sensitivity,sg,Sunspot,5.0,1,,,,,,,,,,,Ven,,,34.64,100.49,0.6895,,,,best_single,,,,
window_sensitivity,sf,Flare,1.0,2,,,,,,,,,,,Ven+Mar,,,73.62,117.03,0.01,,,,best_multi,,,,
window_sensitivity,sf,Flare,2.0,2,,,,,,,,,,,Ven+Mar,,,138.64,116.08,0.0044,,,,best_multi,,,,
window_sensitivity,sf,Flare,3.0,2,,,,,,,,,,,Ven+Mar,,,189.07,114.66,0.0038,,,,best_multi,,,,
window_sensitivity,sf,Flare,4.0,2,,,,,,,,,,,Ven+Mar,,,247.84,114.45,0.0022,,,,best_multi,,,,
window_sensitivity,sf,Flare,5.0,2,,,,,,,,,,,Ven+Mar,,,300.02,114.03,0.0016,,,,best_multi,,,,
window_sensitivity,sg,Sunspot,1.0,2,,,,,,,,,,,Ven+Mar,,,29.68,101.04,0.606,,,,best_multi,,,,
window_sensitivity,sg,Sunspot,2.0,2,,,,,,,,,,,Ven+Mar,,,67.16,101.18,0.4224,,,,best_multi,,,,
window_sensitivity,sg,Sunspot,3.0,2,,,,,,,,,,,Ven+Mar,,,105.86,101.25,0.3154,,,,best_multi,,,,
window_sensitivity,sg,Sunspot,4.0,2,,,,,,,,,,,Ven+Mar,,,120.79,101.07,0.3277,,,,best_multi,,,,
window_sensitivity,sg,Sunspot,5.0,2,,,,,,,,,,,Ven+Mar,,,74.21,100.53,0.5979,,,,best_multi,,,,
window_sensitivity,sf,Flare,1.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,62.13,104.16,0.184,,,,all_7,,,,
